keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count,normalized_keyword,suppression_reason
raids conducted,phrase_frequency; tfidf,2,0.666667,1,1,0.175213,0.0,0.02381,0.125,0.150312,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edi...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,raid conducted,not_selected_after_manual_cleanup
refined palmolein,phrase_frequency; tfidf; yake,3,1.0,5,2,0.243659,0.955181,0.119048,0.25,0.479433,other_candidate,drop,outside edible-oil/adulteration domain,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of e...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,refined palmolein,extractor_label_drop
found,yake,1,0.333333,20,6,0.0,0.987648,0.47619,0.75,0.464174,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...allegedly used expired ingredients, synthetic food colours, and hazardous chemicals. Many establishments were found operating in highly unhygienic conditions without valid FSSAI certification or trade licences. Overall, the p...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,found,extractor_label_drop
officials,yake,1,0.333333,14,5,0.0,0.977903,0.333333,0.625,0.421559,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,...ve-member committee under Nabha SDM officer to scrutinise and take forward an earlier investigation by health officials into three dropsy deaths which took place in Nabha in Sep this year. Chief minister field officer Navdeep Sin...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,official,extractor_label_drop
economic times prime,tfidf; yake,2,0.666667,2,1,0.188251,0.976002,0.047619,0.125,0.402448,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...(Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Eco...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,economic time prime,extractor_label_drop
sweets,yake,1,0.333333,10,4,0.0,0.963245,0.238095,0.5,0.384859,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a maj...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,sweet,extractor_label_drop
products,yake,1,0.333333,9,4,0.0,0.965582,0.214286,0.5,0.381872,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces....",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,product,extractor_label_drop
safety,yake,1,0.333333,13,3,0.0,0.979642,0.309524,0.375,0.380922,other_candidate,drop,outside edible-oil/adulteration domain,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"Jaipur: Food Safety and Drug Control Commissionerate teams on Tuesday seized 6,683 litre of edible oil in Muhana Mandi and 6,000...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,safety,extractor_label_drop
items,yake,1,0.333333,13,3,0.0,0.97577,0.309524,0.375,0.379954,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat product...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,item,extractor_label_drop
collected,yake,1,0.333333,13,3,0.0,0.973569,0.309524,0.375,0.379404,other_candidate,drop,outside edible-oil/adulteration domain,4,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,"...rs of mustard and palm olein oil worth Rs 7,67,800 from various vendors in city. Besides, the department also collected as many as 23 samples for lab testing. According to Vijay Pratap Singh assistant commissioner (food) â II /de...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,f66bdd6f-22cb-438f-9381-21a2ca567634,timesofindia.indiatimes.com,indiatimes.com,2022-10-21,relevant,145,collected,extractor_label_drop
refined,yake,1,0.333333,12,3,0.0,0.970449,0.285714,0.375,0.375053,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...also raided an oil stockiest in Sinnar and seized 53 cans of loose soyabean oil, another 41 boxes of re-used refined soyabean oil and 28 boxes of re-used palmolein oil, collectively worth Rs1.93 lakh. On November 1, the FDA of...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,refined,extractor_label_drop
powder,yake,1,0.333333,10,3,0.0,0.955495,0.238095,0.375,0.364171,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...picious activity to authorities. In a separate incident, police also arrested 10 people associated with a tea-powder adulteration racket and seized a large quantity of products. ""Authorities found 10 tea godowns containing adu...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,powder,extractor_label_drop
worth,yake,1,0.333333,9,3,0.0,0.955082,0.214286,0.375,0.360497,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilo...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,worth,extractor_label_drop
drug,yake,1,0.333333,7,3,0.0,0.966286,0.166667,0.375,0.356155,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from d...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,drug,extractor_label_drop
police,yake,1,0.333333,8,2,0.0,0.960362,0.190476,0.25,0.339495,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which tar...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,police,extractor_label_drop
times,yake,1,0.333333,7,2,0.0,0.967484,0.166667,0.25,0.337704,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...er Protection Department. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,time,extractor_label_drop
administration,yake,1,0.333333,7,2,0.0,0.963981,0.166667,0.25,0.336829,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,administration,extractor_label_drop
food and drug administration,yake,1,0.333333,5,1,0.0,0.993357,0.119048,0.125,0.31828,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,food and drug administration,extractor_label_drop
nabha,yake,1,0.333333,6,1,0.0,0.964617,0.142857,0.125,0.314666,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,Patiala: The Patiala deputy commissioner has constituted a five-member committee under Nabha SDM officer to scrutinise and take forward an earlier investigation by health officials into three dropsy dea...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,nabha,extractor_label_drop
food and drug,yake,1,0.333333,5,1,0.0,0.964311,0.119048,0.125,0.311018,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from d...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,food and drug,extractor_label_drop
cyberabad enforcement wing,yake,1,0.333333,1,1,0.0,0.993356,0.02381,0.125,0.303994,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...at products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food ite...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,cyberabad enforcement wing,extractor_label_drop
cyberabad enforcement wing carried,yake,1,0.333333,1,1,0.0,0.992333,0.02381,0.125,0.303738,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...at products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, mach...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,cyberabad enforcement wing carried,extractor_label_drop
food safety team found,yake,1,0.333333,1,1,0.0,0.987717,0.02381,0.125,0.302584,enforcement/evidence,drop,non-oil food context without edible-oil signal,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...stant commissioner (food) Sarvesh Kumar said the action was taken at Samyak Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for laborato...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,food safety team found,extractor_label_drop
quality food items,yake,1,0.333333,2,1,0.0,0.971797,0.047619,0.125,0.302175,other_candidate,drop,outside edible-oil/adulteration domain,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have c...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,quality food item,extractor_label_drop
gautam budh nagar food,yake,1,0.333333,1,1,0.0,0.974271,0.02381,0.125,0.299222,other_candidate,drop,outside edible-oil/adulteration domain,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...ts are supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noid...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,gautam budh nagar food,extractor_label_drop
nabha sdm nabha,yake,1,0.333333,1,1,0.0,0.974193,0.02381,0.125,0.299203,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...took place in Nabha in Sep this year. Chief minister field officer Navdeep Singh informed that the team under Nabha SDM Nabha also comprises Nabha DSP, district epidemiologist, Patiala civil surgeon, Nabha senior medical officer and de...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,nabha sdm nabha,extractor_label_drop
food safety team,yake,1,0.333333,1,1,0.0,0.967061,0.02381,0.125,0.29742,enforcement/evidence,drop,non-oil food context without edible-oil signal,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...stant commissioner (food) Sarvesh Kumar said the action was taken at Samyak Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for la...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,food safety team,extractor_label_drop
budh nagar food,yake,1,0.333333,1,1,0.0,0.963202,0.02381,0.125,0.296455,other_candidate,drop,outside edible-oil/adulteration domain,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noid...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,budh nagar food,extractor_label_drop
enforcement wing carried,yake,1,0.333333,1,1,0.0,0.95827,0.02381,0.125,0.295222,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...s, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, mach...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,enforcement wing carried,extractor_label_drop
cyberabad enforcement,yake,1,0.333333,1,1,0.0,0.957609,0.02381,0.125,0.295057,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...at products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated foo...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,cyberabad enforcement,extractor_label_drop
enforcement wing,yake,1,0.333333,1,1,0.0,0.957609,0.02381,0.125,0.295057,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...s, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food ite...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,enforcement wing,extractor_label_drop
refined soybean,phrase_frequency; tfidf,2,0.666667,5,2,0.243659,0.0,0.119048,0.25,0.207304,other_candidate,drop,outside edible-oil/adulteration domain,7,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...provide details of the batch number of the oil being manufactured here,"" Kumar said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three sampl...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ed3cfd3b-e129-4945-88ec-d3900ed3ab50,timesofindia.indiatimes.com,indiatimes.com,2026-02-24,relevant,291,refined soybean,extractor_label_drop
activity notice,phrase_frequency; tfidf,2,0.666667,4,1,0.15148,0.0,0.095238,0.125,0.15272,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,activity notice,extractor_label_drop
