keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count,example_article_id,example_domain,example_source,example_publication_date,example_human_label,example_word_count,normalized_keyword,suppression_reason
stop activity,phrase_frequency; tfidf,2,0.666667,4,1,0.15148,0.0,0.095238,0.125,0.15272,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...The FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state F...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,stop activity,extractor_label_drop
stop activity notice,phrase_frequency; tfidf,2,0.666667,4,1,0.15148,0.0,0.095238,0.125,0.15272,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...The FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,stop activity notice,extractor_label_drop
ginger-garlic paste,phrase_frequency; tfidf,2,0.666667,3,1,0.154829,0.0,0.071429,0.125,0.150321,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ch targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing,...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,ginger garlic paste,extractor_label_drop
seizing,phrase_frequency; tfidf,2,0.666667,3,1,0.154829,0.0,0.071429,0.125,0.150321,other_candidate,drop,low score or outside edible-oil/adulteration scope,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...et busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items,...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,seizing,extractor_label_drop
tea powder,phrase_frequency; tfidf,2,0.666667,3,1,0.154829,0.0,0.071429,0.125,0.150321,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ty of products. ""Authorities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known for its...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,tea powder,extractor_label_drop
loose sale,tfidf,1,0.333333,2,1,0.195805,0.0,0.047619,0.125,0.127758,other_candidate,drop,outside edible-oil/adulteration domain,4,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,"...nal city magistrate first from Shanti Niketan Kidwai Nagar. Around 204 litre of mustard oil was collected for loose sale, 1000 liters of rice bran oil for loose sale, and 2500kg of Palmolein were seized by the department. Samples...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,f66bdd6f-22cb-438f-9381-21a2ca567634,timesofindia.indiatimes.com,indiatimes.com,2022-10-21,relevant,145,loose sale,extractor_label_drop
epaper online,tfidf,1,0.333333,2,1,0.188251,0.0,0.047619,0.125,0.125114,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...ng News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,epaper online,extractor_label_drop
et epaper,tfidf,1,0.333333,2,1,0.188251,0.0,0.047619,0.125,0.125114,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...aking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,et epaper,extractor_label_drop
et epaper online,tfidf,1,0.333333,2,1,0.188251,0.0,0.047619,0.125,0.125114,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...aking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,et epaper online,extractor_label_drop
times prime,tfidf,1,0.333333,2,1,0.188251,0.0,0.047619,0.125,0.125114,other_candidate,drop,outside edible-oil/adulteration domain,3,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...ll the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking News and Latest News Updates on The Eco...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,73b65d61-f75b-4ffb-b24c-4ac55b55aa40,economictimes.indiatimes.com,indiatimes.com,2022-01-28,relevant,132,time prime,extractor_label_drop
articles recently,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.071429,0.375,0.100298,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...y member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,article recently,extractor_label_drop
following articles,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.071429,0.375,0.100298,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...ther family member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Con...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,following article,extractor_label_drop
following articles recently,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.071429,0.375,0.100298,other_candidate,drop,outside edible-oil/adulteration domain,2,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...ther family member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,50a6a07a-2c71-452c-8ced-2ee1133ccfa5,timesofindia.indiatimes.com,indiatimes.com,2024-11-27,relevant,385,following article recently,extractor_label_drop
industrial area,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.071429,0.375,0.100298,other_candidate,drop,outside edible-oil/adulteration domain,6,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...(CMHO) Ashok Yadav was informed about the action. Subsequently, the CMHO of Tonk reached the factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,944ebc0e-5af0-4d5f-96cd-1a0080566898,timesofindia.indiatimes.com,indiatimes.com,2024-05-22,relevant,317,industrial area,extractor_label_drop
synthetic food,phrase_frequency,1,0.333333,2,2,0.0,0.0,0.047619,0.25,0.077976,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...oducts, ice creams, and sauces. Several units that came under the scanner allegedly used expired ingredients, synthetic food colours, and hazardous chemicals. Many establishments were found operating in highly unhygienic conditions wi...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,synthetic food,extractor_label_drop
milk powder,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.071429,0.125,0.062798,other_candidate,drop,non-oil food context without edible-oil signal,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...ulterated. On October 10, the FDA raided a house in Sinnar and found a man adulterating milk with the help of milk powder and colourless liquid. The FDA found 18 kg of dairy milk powder, 34 kg of milk powder and 170 litres of colou...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,milk powder,extractor_label_drop
adulterated tea,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,adulteration/fraud,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...large quantity of products. ""Authorities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known f...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,adulterated tea,extractor_label_drop
adulteration racket,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,adulteration/fraud,drop,weak domain term below threshold,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in se...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,adulteration racket,extractor_label_drop
bakery products,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...res of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces....",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,bakery product,extractor_label_drop
expired tea,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known for its tea culture, is facing a...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,expired tea,extractor_label_drop
ice creams,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ncluding bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad Enforcement W...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,ice cream,extractor_label_drop
including bakery,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,including bakery,extractor_label_drop
including bakery products,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces....",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,including bakery product,extractor_label_drop
major success,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,major success,extractor_label_drop
meat products,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,non-oil food context without edible-oil signal,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...nge of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing, the Cyberabad E...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,meat product,extractor_label_drop
salty snacks,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...grams of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown o...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,salty snack,extractor_label_drop
wide range,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.047619,0.125,0.059226,other_candidate,drop,outside edible-oil/adulteration domain,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...or success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, mea...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,wide range,extractor_label_drop
oils in gb nagar,yake,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,other_candidate,drop,low score or outside edible-oil/adulteration scope,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplied with safe and quality food items during the festiv...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,oil in gb nagar,extractor_label_drop
seized large,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,enforcement/evidence,drop,weak domain term below threshold,8,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...belling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edible oils, officials said on Monday as they intensified inspections. The drive was...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,460be3b0-c095-4fcd-8507-b56356cff442,hindustantimes.com,hindustantimes.com,2026-02-24,relevant,481,seized large,extractor_label_drop
served stop,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice b...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,served stop,extractor_label_drop
served stop activity,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice by the sta...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,served stop activity,extractor_label_drop
served stop activity notice,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,other_candidate,drop,outside edible-oil/adulteration domain,5,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food...,2,3,new_unique_round_02_rescue_relevant_articles_only,8,27334840-021a-4ad7-acf5-32b3da9242c6,timesofindia.indiatimes.com,indiatimes.com,2023-11-09,relevant,635,served stop activity notice,extractor_label_drop
sources revealed,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.02381,0.125,0.055655,other_candidate,drop,boilerplate or incomplete phrase,1,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the oper...",2,3,new_unique_round_02_rescue_relevant_articles_only,8,ac61ee82-adfd-4cb5-a9d7-8d97e9874c41,indiatoday.in,indiatoday.in,2026-04-23,relevant,350,source revealed,extractor_label_drop
