not_candidate,risk_flag,irrelevant_category,irrelevant_review_label,irrelevant_composite_score,irrelevant_document_frequency,irrelevant_total_frequency,positive_exact_kept,positive_overlap_terms,example_irrelevant_title,example_context
adulterated food,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.167287,2,2,0,adulterated,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...tests,â assistant commissioner of the food safety department Sarvesh Mishra said. This is not the first time adulterated food products have entered the markets. In March, six samples of paneer were found to be unsafe for consumption. A..."
fake paneer,risky_overlap_with_positive_keyword,other_junk,drop,0.164928,2,2,0,fake,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...3.5 lakhs. If reports are to be believed, raw materials and chemicals being used for the manufacturing of the fake paneer including adulterants, large quantities of palm oil and industrial grade acetic acid were seized during the r..."
quality,risky_overlap_with_positive_keyword,other_junk,drop,0.145584,2,11,0,substandard quality; quality test,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...n checking tea purity at home through appearance, aroma, taste, and solubility tests to help consumers ensure quality and safety."
vegetable oils,risky_overlap_with_positive_keyword,other_junk,drop,0.139833,1,5,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...on what makes canola rapeseed-mustard oil the healthiest oil for human consumption. What are the benefits of vegetable oils? Daily intake of a certain minimum amount of fats is necessary for physical and mental well-being. The nutrit...
canola oil,risky_overlap_with_positive_keyword,other_junk,drop,0.138302,1,4,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...anadian Oilseeds Crushers Association, where the first such variety was developed. Decrease in erucic acid in canola oil is also associated with corresponding increase in nutritionally desirable MUFA. Canola rapeseed-mustard oil c..."
canola rapeseed-mustard oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.136894,1,3,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...eding and genetics, Punjab Agriculture University (PAU), Ludhiana, speaks to The Indian Express on what makes canola rapeseed-mustard oil the healthiest oil for human consumption. What are the benefits of vegetable oils? Daily intake of a certain..."
oil import,risky_overlap_with_positive_keyword,price/trade/market,drop,0.135758,1,3,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...ith Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence on oil import. THE FOOD Safety Standards Authority of India (FSSAI) has banned blending of mustard oil with any other oil....
healthy oil,risky_overlap_with_positive_keyword,other_junk,drop,0.135424,1,3,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...s in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence on oil import. THE FOOD Safety Standards Authority of I...
blending mustard oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.132412,1,1,0,oil; mustard oil; blending,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...fter the outbreak of dropsy (due to adulteration of mustard oil) in the late 1990s, the government pushed for blending mustard oil with other edible oils. Experts see the FSSAI’s decision as a big opportunity for mustard growers in India an..."
oil palm,risky_overlap_with_positive_keyword,other_junk,drop,0.131762,1,1,0,oil,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...e seized during the raid. What is Palm Oil? Palm oil is a type of vegetable oil derived from the fruit of the oil palm tree (Elaeis guineensis). It is widely used in food, cosmetics, and industrial applications due to its versat..."
cooking,risky_overlap_with_positive_keyword,culinary/health_education,drop,0.101667,2,5,0,cooking oil; fake cooking oil; adulterated cooking oil,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...It can also contribute to inflammation and weight gain if not consumed in moderation. It is commonly used in cooking and processed foods, as an inexpensive one but can have negative effects on health. Risk of heart disease: Pa..."
rapeseed-mustard oil varieties,risky_overlap_with_positive_keyword,other_junk,manual_review,0.101431,1,2,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...Experts see the FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence o...
traditional rapeseed-mustard oil varieties,risky_overlap_with_positive_keyword,other_junk,manual_review,0.101274,1,2,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...alternative’ Experts see the FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence o...
traditional rapeseed-mustard oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.101006,1,2,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...alternative’ Experts see the FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's de...
oil varieties,risky_overlap_with_positive_keyword,other_junk,drop,0.100474,1,2,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil varieties with Canola rapeseed-mustard to provide a healthy oil for human consumption and decrease India's dependence o...
blending of mustard oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.100288,1,2,0,oil; mustard oil; blending,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’ Experts see the FSSAI’s decision as a..."
canola rapeseed-mustard oils,risky_overlap_with_positive_keyword,other_junk,drop,0.099583,1,1,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...not show interest in increasing the area under it. Increasing awareness about health benefits and quality of canola rapeseed-mustard oils is fueling its demand in the country and in such a situation, the area under this canola mustard can increase..."
makes canola rapeseed-mustard oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.099449,1,1,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...nt breeding and genetics, Punjab Agriculture University (PAU), Ludhiana, speaks to The Indian Express on what makes canola rapeseed-mustard oil the healthiest oil for human consumption. What are the benefits of vegetable oils? Daily intake of a certain..."
palm oil imports,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.098851,1,1,0,oil; palm oil,Farmers Call For Ban On Palm Oil Imports In Letter To Pm Modi | Jaipur News - Times of India,Farmers call for ban on palm oil imports in letter to PM Modi Jaipur: Kisan Mahapanchayat president Rampal Jat has written to Prime Minister Narendra...
oil and palm oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.098714,1,1,0,oil; palm oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...wn as essential fatty acids. The proportion of SFAs in plant-derived oils is generally low, except in coconut oil and palm oil. Higher consumption of SFAs is known to increase low density lipoprotein (LDL), bad cholesterol, which is ass..."
rapeseed-mustard oil lead,risky_overlap_with_positive_keyword,other_junk,manual_review,0.098631,1,1,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’",...of these varieties is becoming popular in different mustard growing areas of the country. Can ban on blending rapeseed-mustard oil lead to an increased area under it and decrease India’s dependence on oil import? The area under it has stagnated...
conventional mustard oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.098622,1,1,0,oil; mustard oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...of imported canola brands mainly from Canada, ventured into the Indian market, sold almost at double price of conventional mustard oil. All the canola grown in Canada and other major producing countries is transgenic/genetically modified (GM),..."
oilseeds,risky_overlap_with_positive_keyword,other_junk,drop,0.098333,2,3,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...sumption and decrease India’s dependence on oil import. Virender Sardana, principal agronomist and in-charge, oilseeds section, department of plant breeding and genetics, Punjab Agriculture University (PAU), Ludhiana, speaks to..."
adulterated food items,risky_overlap_with_positive_keyword,price/trade/market,drop,0.09681,1,1,0,adulterated,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","Ahead of Holi, authorities in Uttar Pradesh have intensified a statewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake pa..."
conducted raids,risky_overlap_with_positive_keyword,other_junk,drop,0.09681,1,1,0,raids; raid,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...intensified a statewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake paneer, mawa and suspicious edible oil. In Ghaziabad, nearly 2,500..."
conducted raids across,risky_overlap_with_positive_keyword,other_junk,drop,0.09681,1,1,0,raids; raid,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...intensified a statewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake paneer, mawa and suspicious edible oil. In Ghaziabad, nearly 2,500 kg of p..."
conducted raids across multiple,risky_overlap_with_positive_keyword,other_junk,drop,0.09681,1,1,0,raids; raid,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...intensified a statewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake paneer, mawa and suspicious edible oil. In Ghaziabad, nearly 2,500 kg of paneer and..."
oil derived,risky_overlap_with_positive_keyword,other_junk,drop,0.096667,2,2,0,oil,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...d industrial grade acetic acid were seized during the raid. What is Palm Oil? Palm oil is a type of vegetable oil derived from the fruit of the oil palm tree (Elaeis guineensis). It is widely used in food, cosmetics, and industrial..."
coconut,risky_overlap_with_positive_keyword,other_junk,drop,0.071667,1,5,0,adulterated coconut oil; coconut oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...l extracted from rice bran, corn or maize, cottonseed and from several tree borne oilseed (TBO) crops such as coconut, palm and olive is also used for edible purposes, directly or after blending with traditional edible oils. Wh..."
import palm oil,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.06915,0,0,0,oil; palm oil,,
oil contains,risky_overlap_with_positive_keyword,other_junk,drop,0.066667,1,2,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...cent), palm (51 per cent) oils, groundnut, soybean, corn and cottonseed oils (15 per cent). Rapeseed-mustard oil contains about 20-35 per cent PUFAs which are higher than those present in olive, coconut, palm or corn oils (usually..."
safety department,risky_overlap_with_positive_keyword,other_junk,drop,0.066667,1,2,0,food safety department,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...llegations and, on top of it, claimed that I had mixed vegetable oil in it,â he said. Officials from the food safety department took cognizance of the video and began an investigation. âWe sent a team to take the samples which will be se..."
around containers edible oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.065143,0,0,0,oil; edible oil,,
containers edible oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.065143,0,0,0,oil; edible oil,,
containers edible oil four,risky_overlap_with_positive_keyword,other_junk,manual_review,0.065143,0,0,0,oil; edible oil,,
crackdown adulterated,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.065143,0,0,0,crackdown; adulterated,,
crackdown adulterated food,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.065143,0,0,0,crackdown; adulterated,,
crackdown adulterated food items,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.065143,0,0,0,crackdown; adulterated,,
adulterated food items ensure,risky_overlap_with_positive_keyword,price/trade/market,drop,0.065143,0,0,0,adulterated,,
dehat officials seized,risky_overlap_with_positive_keyword,other_junk,drop,0.065143,0,0,0,seized,,
dehat officials seized around,risky_overlap_with_positive_keyword,other_junk,drop,0.065143,0,0,0,seized,,
acids in any oil,risky_overlap_with_positive_keyword,other_junk,drop,0.065,1,1,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...il is determined by its fatty acid composition, which differs from oil to oil. There are three types of fatty acids in any oil including saturated fatty acids (SFAs), mono-unsaturated fatty acids (MUFAs) and polyunsaturated fatty acids..."
blending mustard,risky_overlap_with_positive_keyword,other_junk,drop,0.065,1,1,0,blending,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...fter the outbreak of dropsy (due to adulteration of mustard oil) in the late 1990s, the government pushed for blending mustard oil with other edible oils. Experts see the FSSAI’s decision as a big opportunity for mustard growers in Indi..."
cent of its oil,risky_overlap_with_positive_keyword,other_junk,drop,0.065,1,1,0,oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...tares in 1974-75 to merely 38,000 hectares now. It is dependent on import of oil for meeting more than 60 per cent of its oil needs. Mustard oil was mostly blended with palm oil, which is imported in huge quantities and not considered..."
decrease india dependence oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.033333,0,0,0,oil,,
india dependence oil,risky_overlap_with_positive_keyword,other_junk,manual_review,0.033333,0,0,0,oil,,
india dependence oil import,risky_overlap_with_positive_keyword,price/trade/market,manual_review,0.033333,0,0,0,oil,,
dependence oil,risky_overlap_with_positive_keyword,other_junk,drop,0.033333,0,0,0,oil,,
dependence oil import,risky_overlap_with_positive_keyword,price/trade/market,drop,0.033333,0,0,0,oil,,
oil human,risky_overlap_with_positive_keyword,other_junk,drop,0.033333,0,0,0,oil,,
oil human consumption,risky_overlap_with_positive_keyword,other_junk,drop,0.033333,0,0,0,oil,,
oil oil,risky_overlap_with_positive_keyword,other_junk,drop,0.033333,0,0,0,oil,,
oil per,risky_overlap_with_positive_keyword,other_junk,drop,0.033333,0,0,0,oil,,
oil per cent,risky_overlap_with_positive_keyword,other_junk,drop,0.033333,0,0,0,oil,,
oil,do_not_not_exact_positive_kept,other_junk,manual_review,0.785484,5,90,1,oil,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...IDA: A Greater Noida resident claimed a block of paneer he bought from a local store was laced with vegetable oil â a commonly used as adulterant to keep cottage cheese soft for long. Gaurav Kumar Yadav, a resident of Stel..."
palm oil,do_not_not_exact_positive_kept,other_junk,keep_core,0.36466,3,14,1,palm oil,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...and chemicals being used for the manufacturing of the fake paneer including adulterants, large quantities of palm oil and industrial grade acetic acid were seized during the raid. What is Palm Oil? Palm oil is a type of vegetab..."
adulterated,do_not_not_exact_positive_kept,price/trade/market,manual_review,0.333272,3,9,1,adulterated,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...from there. Several local restaurants also purchase paneer from the store and we may have been consuming the adulterated product for long,â he said. Yadav also posted a video of the adulterated paneer on X, which was shared severa..."
food safety,do_not_not_exact_positive_kept,other_junk,manual_review,0.297756,3,5,1,food safety,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...the allegations and, on top of it, claimed that I had mixed vegetable oil in it,â he said. Officials from the food safety department took cognizance of the video and began an investigation. âWe sent a team to take the samples which..."
mustard oil,do_not_not_exact_positive_kept,other_junk,manual_review,0.291813,2,23,1,mustard oil,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...milk producers, while genuine issues like adulterated paneer go unaddressed. How is olive oil different from mustard oil?Mustard oil, derived from mustard seeds, has been a staple in Indian cuisine, known for its strong flavor and..."
edible oil,do_not_not_exact_positive_kept,other_junk,manual_review,0.26617,2,5,1,edible oil,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...y intake. Generally speaking, however, good quality oil should be taken in moderation only. What is the ideal edible oil? An ideal cooking oil is one that contains healthy fats and nutrients, and does not break down on heating. Wh..."
fake,do_not_not_exact_positive_kept,other_junk,manual_review,0.200308,3,3,1,fake,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...lterated? How to check the purity of tea leaves?Government officials in Cuttack, Odisha, recently uncovered a fake tea powder manufacturing unit, highlighting rising concerns about food adulteration. Huge quantities of adult..."
seized,do_not_not_exact_positive_kept,other_junk,manual_review,0.19772,2,5,1,seized,1500 kg paneer adulterated with palm oil and acetic acid seized in this city - The Times of India,"...nd the detailed report. As per the latest news report In a raid, the Food and Drug Control Administration has seized 1500 kgs of adulterated paneer being manufactured in Ahmedabad, Gujarat. The incident happened on 4 February..."
raids,do_not_not_exact_positive_kept,other_junk,drop,0.130287,1,2,1,raids,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","...ed a statewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple districts, targeting fake paneer, mawa and suspicious edible oil. In Ghaziabad, nearly 2,500..."
adulteration,do_not_not_exact_positive_kept,other_junk,drop,0.13,3,4,1,adulteration,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India",...milk adulterationThe Progressive Dairy Farmers Association (PDFA) dismissed social media accusations of milk adulteration affecting consumer health. PDFA President Daljit Singh emphasized the necessity of government checks to ensur...
raid,do_not_not_exact_positive_kept,other_junk,drop,0.098333,2,3,1,raid,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...cerns about food adulteration. Huge quantities of adulterated tea and packaging materials were found during a raid. The article offers tips on checking tea purity at home through appearance, aroma, taste, and solubility test..."
crackdown,do_not_not_exact_positive_kept,other_junk,drop,0.09681,1,1,1,crackdown,"Holi Crackdown: 30,000 Oil Packs Seized, Tonnes Of Fake Paneer Destroyed Across Uttar Pradesh","Ahead of Holi, authorities in Uttar Pradesh have intensified a statewide crackdown on adulterated food items to ensure festive food safety. Food Safety teams conducted raids across multiple di..."
fssai,do_not_not_exact_positive_kept,other_junk,drop,0.068333,1,3,1,fssai,"Virender Sardana: ‘Ban on blending of mustard oil will benefit farmers, lead to more production of healthier alternative’","...ending of mustard oil will benefit farmers, lead to more production of healthier alternative’ Experts see the FSSAI’s decision as a big opportunity for mustard growers in India and replacing traditional rapeseed-mustard oil v..."
food safety department,do_not_not_exact_positive_kept,other_junk,drop,0.066667,1,2,1,food safety department,"Paneer adulterated with vegetable oil, FDA collects samples | Noida News - Times of India","...the allegations and, on top of it, claimed that I had mixed vegetable oil in it,â he said. Officials from the food safety department took cognizance of the video and began an investigation. âWe sent a team to take the samples which will be se..."
