keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,source_round_number,next_round_target,keyword_source_scope,keyword_source_article_count
legal metrology,tfidf,1,0.333333,2,1,0.099895,0.0,0.02,0.055556,0.07963,other_candidate,drop,outside edible-oil/adulteration domain,13,50 cases registered during raids on oil shops in A.P.     ,https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Rai...",2,3,unique_round_02_relevant_articles_only,18
worth rs lakh,tfidf,1,0.333333,0,0,0.13192,0.0,0.0,0.0,0.079505,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
loose sale,tfidf,1,0.333333,2,1,0.099536,0.0,0.02,0.055556,0.079504,other_candidate,drop,outside edible-oil/adulteration domain,8,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,"...nal city magistrate first from Shanti Niketan Kidwai Nagar. Around 204 litre of mustard oil was collected for loose sale, 1000 liters of rice bran oil for loose sale, and 2500kg of Palmolein were seized by the department. Samples...",2,3,unique_round_02_relevant_articles_only,18
bagchi teams,tfidf,1,0.333333,0,0,0.099895,0.0,0.0,0.0,0.068297,other_candidate,drop,non-oil food context without edible-oil signal,,,,,2,3,unique_round_02_relevant_articles_only,18
vigilance enforcement,tfidf,1,0.333333,0,0,0.099895,0.0,0.0,0.0,0.068297,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
samples sweets,tfidf,1,0.333333,0,0,0.099536,0.0,0.0,0.0,0.068171,other_candidate,drop,non-oil food context without edible-oil signal,,,,,2,3,unique_round_02_relevant_articles_only,18
breaking latest,tfidf,1,0.333333,0,0,0.094692,0.0,0.0,0.0,0.066476,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
articles recently,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,6,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...y member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",2,3,unique_round_02_relevant_articles_only,18
expiry date,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...said on Monday that they raided a food shop in the city and found boxes of shrikhand with no manufacturing or expiry date. Taking serious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over...",2,3,unique_round_02_relevant_articles_only,18
following articles,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,6,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...ther family member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Con...",2,3,unique_round_02_relevant_articles_only,18
following articles recently,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,6,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...ther family member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",2,3,unique_round_02_relevant_articles_only,18
industrial area,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...(CMHO) Ashok Yadav was informed about the action. Subsequently, the CMHO of Tonk reached the factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar...",2,3,unique_round_02_relevant_articles_only,18
large quantity,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Acting on the information, a team arrived at the scene. The warehous...",2,3,unique_round_02_relevant_articles_only,18
standards act,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...s sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",2,3,unique_round_02_relevant_articles_only,18
strict action,phrase_frequency,1,0.333333,3,3,0.0,0.0,0.03,0.166667,0.062833,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...and a notice is being posted. Once the owner arrives, oil samples will be sent for testing. If found guilty, strict action will be taken."" FSDA Agra conducted inspections across several locations in the district, collecting 11 food...",2,3,unique_round_02_relevant_articles_only,18
adulterated food,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.03,0.111111,0.0545,adulteration/fraud,drop,weak domain term below threshold,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, s...",2,3,unique_round_02_relevant_articles_only,18
festive season,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.03,0.111111,0.0545,other_candidate,drop,outside edible-oil/adulteration domain,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,...id the department intensified inspections across the district to curb adulteration in edible items during the festive season and is running a special campaign to deter adulterators.,2,3,unique_round_02_relevant_articles_only,18
fsda team,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.03,0.111111,0.0545,other_candidate,drop,non-oil food context without edible-oil signal,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...ensure that residents receive safe and pure festive delicacies. In the Mansoorpur area of Muzaffarnagar, the FSDA team intercepted a vehicle on the highway carrying around 15 quintals of adulterated paneer worth nearly Rs 3.3 la...",2,3,unique_round_02_relevant_articles_only,18
health department,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.03,0.111111,0.0545,other_candidate,drop,outside edible-oil/adulteration domain,6,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,"...societies. Three members of a family had died after consumption of unfit edible oil in Sept, after which the health department had issued an advisory and conducted a probe. Navdeep Singh said the committee will now act after going throu...",2,3,unique_round_02_relevant_articles_only,18
hygiene violations,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.03,0.111111,0.0545,other_candidate,drop,outside edible-oil/adulteration domain,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...ommissioner of FSDA Agra, said, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was bein...",2,3,unique_round_02_relevant_articles_only,18
officials seized,phrase_frequency,1,0.333333,2,2,0.0,0.0,0.02,0.111111,0.053,enforcement/evidence,drop,weak domain term below threshold,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...cting 11 food samples and destroying over 2.2 tonnes of substandard food items. During the enforcement drive, officials seized and destroyed 1,725 kg of khoya, 500 kg of paneer and 30 kg of artificially coloured petha worth around Rs 4....",2,3,unique_round_02_relevant_articles_only,18
oil allegedly,phrase_frequency,1,0.333333,2,2,0.0,0.0,0.02,0.111111,0.053,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...FSDA team raided a trader's shop at Sachendi and found a large stock of Amrit, Maya and Safari brand soybean oil allegedly imported from Nepal. On-the-spot testing by the Food Safety on Wheels laboratory indicated adulteration. The...",2,3,unique_round_02_relevant_articles_only,18
activity notice,phrase_frequency,1,0.333333,4,1,0.0,0.0,0.04,0.055556,0.047667,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and...",2,3,unique_round_02_relevant_articles_only,18
stop activity,phrase_frequency,1,0.333333,4,1,0.0,0.0,0.04,0.055556,0.047667,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...The FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state F...",2,3,unique_round_02_relevant_articles_only,18
stop activity notice,phrase_frequency,1,0.333333,4,1,0.0,0.0,0.04,0.055556,0.047667,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...The FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and...",2,3,unique_round_02_relevant_articles_only,18
economic forum,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,...n Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,2,3,unique_round_02_relevant_articles_only,18
fake oil,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,adulteration/fraud,drop,weak domain term below threshold,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,"...s and palaces had long influenced his architectural work, including the planned White House ballroom project. Fake oil found in Bihar, here's how to spot it. Fake oil containers were seized in Rohtas district, Bihar. Watch to kn...",2,3,unique_round_02_relevant_articles_only,18
ginger-garlic paste,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,outside edible-oil/adulteration domain,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ch targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing,...",2,3,unique_round_02_relevant_articles_only,18
international economic,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,...xchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta...,2,3,unique_round_02_relevant_articles_only,18
international economic forum,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,...xchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,2,3,unique_round_02_relevant_articles_only,18
milk powder,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,non-oil food context without edible-oil signal,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...ulterated. On October 10, the FDA raided a house in Sinnar and found a man adulterating milk with the help of milk powder and colourless liquid. The FDA found 18 kg of dairy milk powder, 34 kg of milk powder and 170 litres of colou...",2,3,unique_round_02_relevant_articles_only,18
petersburg international,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,outside edible-oil/adulteration domain,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated...,2,3,unique_round_02_relevant_articles_only,18
tea powder,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,other_candidate,drop,non-oil food context without edible-oil signal,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ty of products. ""Authorities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known for its...",2,3,unique_round_02_relevant_articles_only,18
collected samples,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.02,0.055556,0.044667,other_candidate,drop,low score or outside edible-oil/adulteration scope,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...leged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edible oils, officials said on Monday as they intensified inspectio...",2,3,unique_round_02_relevant_articles_only,18
ensure residents,phrase_frequency,1,0.333333,2,1,0.0,0.0,0.02,0.055556,0.044667,other_candidate,drop,outside edible-oil/adulteration domain,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...d of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Ga...",2,3,unique_round_02_relevant_articles_only,18
action under the food,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,outside edible-oil/adulteration domain,18,Traders given 15 days to halt sale of loose edible oil,https://www.thehansindia.com/news/cities/hyderabad/traders-given-15-days-to-halt-sale-of-loose-edible-oil-1069613,"...mful substances takes place. He explained the severe legal consequences of violations, including strict penal action under the Food Safety and Standards Act and relevant provisions of the Bharatiya Nyaya Sanhita. Stakeholders were advised to...",2,3,unique_round_02_relevant_articles_only,18
oil collected,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,14,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,"...ary questions were raised by legislator Sameer Kunawar, who pointed out that samples of soybean and groundnut oil collected recently from the same factory were found to be adulterated. ""Swift action was expected, but the concerned of...",2,3,unique_round_02_relevant_articles_only,18
oil in the state,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,17,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,...department launched a special drive called ‘Operation Oil’ as part of curbing the sale of adulterated coconut oil in the State. Over 100 centers were inspected in the last two days and notices were issued against the violators of safety...,2,3,unique_round_02_relevant_articles_only,18
oil of another brand,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"...liberately added to improve their nutritional value. Officials further said that 91 tins of refined palmolein oil of another brand carrying expiry date were found. One sample was collected, and the remaining stock was seized. “In total, fiv...",2,3,unique_round_02_relevant_articles_only,18
oils in gb nagar,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,12,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplied with safe and quality food items during the festiv...",2,3,unique_round_02_relevant_articles_only,18
samples had been collected,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,17,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,...ction was taken against 177 shops that did not comply with the norms under Operation Shawarma. As many as 651 samples had been collected and sent for lab tests. Notices were issued against 294 institutions and fines were collected. The State also...,2,3,unique_round_02_relevant_articles_only,18
samples have been collected,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...ng. Food inspector Archana Deheeran told TOI, ""Paneer was being brought from Aligarh to supply Uttar Pradesh; samples have been collected, and the entire paneer that was in bad condition was also destroyed. Apart from this, we also destroyed 'khiy...",2,3,unique_round_02_relevant_articles_only,18
samples of this edible,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...nder the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Officials said samples of this edible oil had been taken a few days earlier and were found to be of substandard quality. Tonk chief medical health...",2,3,unique_round_02_relevant_articles_only,18
samples were also collected,yake,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,low score or outside edible-oil/adulteration scope,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...00 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establishments, and two samples of sugar toys were taken for testing. The FSDA has sent all 1...",2,3,unique_round_02_relevant_articles_only,18
served stop,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice b...,2,3,unique_round_02_relevant_articles_only,18
served stop activity,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice by the sta...,2,3,unique_round_02_relevant_articles_only,18
served stop activity notice,phrase_frequency,1,0.333333,1,1,0.0,0.0,0.01,0.055556,0.043167,other_candidate,drop,outside edible-oil/adulteration domain,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food...,2,3,unique_round_02_relevant_articles_only,18
administration fsda,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
ahead holi,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
drug administration fsda,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
food safety drug,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,enforcement/evidence,drop,weak domain term below threshold,,,,,2,3,unique_round_02_relevant_articles_only,18
food safety standards act,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,enforcement/evidence,drop,weak domain term below threshold,,,,,2,3,unique_round_02_relevant_articles_only,18
items festive season,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
oil worth lakh,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,low score or outside edible-oil/adulteration scope,,,,,2,3,unique_round_02_relevant_articles_only,18
safety drug,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
safety standards act,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
sale adulterated,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,adulteration/fraud,drop,weak domain term below threshold,,,,,2,3,unique_round_02_relevant_articles_only,18
tins refined,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
worth lakh,phrase_frequency,1,0.333333,0,0,0.0,0.0,0.0,0.0,0.033333,other_candidate,drop,outside edible-oil/adulteration domain,,,,,2,3,unique_round_02_relevant_articles_only,18
