keep,keyword_or_keyphrase,review_label,source,category,composite_score,methods_found,method_count,total_frequency,document_frequency,review_reason,example_article_title,example_context,example_url,source_round_number,next_round_target
,petersburg international economic forum,drop,extraction_unique_r2_relevant,other_candidate,0.198867,phrase_frequency; yake,2,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,petersburg international economic,drop,extraction_unique_r2_relevant,other_candidate,0.197908,phrase_frequency; yake,2,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,food safety and standards,drop,extraction_unique_r2_relevant,enforcement/evidence,0.183522,yake,1,4,3,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...ing. The FSDA has sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food safety and drug,drop,extraction_unique_r2_relevant,enforcement/evidence,0.182234,yake,1,3,3,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"Agra:Ahead of Diwali, officials have stepped up efforts to curb food adulteration. The Food Safety and Drug Administration (FSDA) carried out swift operations across districts to ensure that residents receive safe and...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food and drug administration,drop,extraction_unique_r2_relevant,other_candidate,0.178553,yake,1,6,2,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",Nashik: The Food and Drug Administration (FDA) of the Nashik division has seized adulterated food items and spurious cooking oil from different parts...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,mustard,drop,extraction_unique_r2_relevant,other_candidate,0.171924,phrase_frequency; tfidf,2,6,5,low score or outside edible-oil/adulteration scope,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said tha...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,food safety regulations,drop,extraction_unique_r2_relevant,enforcement/evidence,0.171788,yake,1,2,2,weak domain term below threshold,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration","...atories are awaited in the the remaining three, Zirwal said while assuring strict action against violators of food safety regulations. In a separate discussion, Minister-in-Charge Shambhuraj Desai informed the assembly that a panel of architec...",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,2,3
,coconut,drop,extraction_unique_r2_relevant,other_candidate,0.163976,phrase_frequency; tfidf,2,7,1,low score or outside edible-oil/adulteration scope,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,"Tightening the noose around the adulterated coconut oil manufacturers, the State government has decided to allow a manufacturer to launch only one brand of cocon...",https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,2,3
,state food laboratory,drop,extraction_unique_r2_relevant,other_candidate,0.163549,yake,1,2,1,outside edible-oil/adulteration domain,Oil’s not well? Food safety teams smell fraud,"...Medicine, said that their teams collected edible oil samples over three days and those have been sent to the State Food Laboratory in Nacharam. The tests are conducted to determine the acid value of oil and nature of oil among other factors...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,refined soybean,drop,extraction_unique_r2_relevant,other_candidate,0.163052,phrase_frequency; tfidf,2,7,4,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...nder unhygienic conditions. In addition, 800 kg of edible oil â including 600 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establ...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food safety team found,drop,extraction_unique_r2_relevant,enforcement/evidence,0.163033,yake,1,1,1,non-oil food context without edible-oil signal,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...stant commissioner (food) Sarvesh Kumar said the action was taken at Samyak Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for laborato...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,food safety teams found,drop,extraction_unique_r2_relevant,enforcement/evidence,0.163033,yake,1,1,1,non-oil food context without edible-oil signal,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them stored in unhygienic and contaminated conditions during a pre-Holi drive in GB Nagar. Assistant commiss...,https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,food safety officers found,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162918,yake,1,1,1,weak domain term below threshold,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India","...was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Jaipur. Food safety officers found expired materials at the bakery, which were seized. Action is now being taken to suspend its food licence. W...",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,2,3
,food safety authority teams,drop,extraction_unique_r2_relevant,enforcement/evidence,0.16271,yake,1,1,1,non-oil food context without edible-oil signal,Oil’s not well? Food safety teams smell fraud,"...in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State, and collected 98...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,food safety officer sanjay,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162691,yake,1,1,1,weak domain term below threshold,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,"...seized mawa, valued at Rs 3.42 lakh, was transported to a rubbish disposal plant and destroyed. According to food safety officer Sanjay Pratap Singh, the action was taken in compliance with the directions of Cans the district magistrate. The spe...",https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,budh nagar food safety,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162636,yake,1,1,1,weak domain term below threshold,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and G...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,nagar food safety authorities,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162564,yake,1,1,1,weak domain term below threshold,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...ied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,food safety officer atul,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162496,yake,1,1,1,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...aid, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Acting o...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food safety departments raided,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162488,yake,1,1,1,weak domain term below threshold,50 cases registered during raids on oil shops in A.P.     ,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more than 250...",https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,2,3
,food safety team,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162457,yake,1,1,1,non-oil food context without edible-oil signal,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...stant commissioner (food) Sarvesh Kumar said the action was taken at Samyak Mithaiwala in Rasulpur Nawada. ""A food safety team found rasgullas polluted and infested with mosquitoes. 1 sample from the sweets was collected and sent for la...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,food safety teams,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162457,yake,1,1,1,non-oil food context without edible-oil signal,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",Noida: Around 100kg of rasgullas were destroyed at a sweet shop in Sector 62 after food safety teams found them stored in unhygienic and contaminated conditions during a pre-Holi drive in GB Nagar. Assistant c...,https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,food safety officer suresh,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162352,yake,1,1,1,weak domain term below threshold,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India","...factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Ja...",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,2,3
,nagar food safety,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162344,yake,1,1,1,weak domain term below threshold,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...ied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and G...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,food safety departments,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162318,yake,1,1,1,weak domain term below threshold,50 cases registered during raids on oil shops in A.P.     ,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Raids were conducted in more th...",https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,2,3
,officer food safety,drop,extraction_unique_r2_relevant,enforcement/evidence,0.162159,yake,1,1,1,weak domain term below threshold,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...orts, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,food safety act,drop,extraction_unique_r2_relevant,enforcement/evidence,0.16214,yake,1,1,1,weak domain term below threshold,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India","...on surveillance, the goods were found being unloaded at Muhana Mandi. Samples of the oil were taken under the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Officials said samples of this edible o...",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,2,3
,food safety raids,drop,extraction_unique_r2_relevant,enforcement/evidence,0.161929,yake,1,1,1,weak domain term below threshold,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplie...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,chief food safety officer,drop,extraction_unique_r2_relevant,enforcement/evidence,0.161794,yake,1,1,1,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...gra, said, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Act...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,food safety authority,drop,extraction_unique_r2_relevant,enforcement/evidence,0.161768,yake,1,1,1,weak domain term below threshold,Oil’s not well? Food safety teams smell fraud,"...in India. Suspecting that the price rise may lead to sale of adulterated or substandard edible oil, Telangana Food Safety Authority teams conducted checks at oil manufacturing units, packaging units and retail stores in the State, and collec...",https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,2,3
,food safety authorities,drop,extraction_unique_r2_relevant,enforcement/evidence,0.161673,yake,1,1,1,weak domain term below threshold,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...th safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Gautam Budh Nagar food safety authorities have come across alleged unhygiene and labelling violations during raids conducted in Noida and Greater Noida...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,food safety department launched,drop,extraction_unique_r2_relevant,enforcement/evidence,0.161634,yake,1,1,1,weak domain term below threshold,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,"...stock. Further, the presence of sulphur in the oil would be checked by the authorities, said Ms. George. The Food Safety department launched a special drive called ‘Operation Oil’ as part of curbing the sale of adulterated coconut oil in the State. O...",https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,2,3
,designated officer food safety,drop,extraction_unique_r2_relevant,enforcement/evidence,0.161623,yake,1,1,1,weak domain term below threshold,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,oils,drop,extraction_unique_r2_relevant,other_candidate,0.159078,phrase_frequency; tfidf,2,7,4,low score or outside edible-oil/adulteration scope,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...the operation, which targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulte...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
,assistant commissioner,drop,extraction_unique_r2_relevant,other_candidate,0.155607,phrase_frequency; tfidf,2,5,5,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...so destroyed 'khiya' (reduced dry milk). The drive is ongoing due to upcoming festivals."" Mahendra Singh, the assistant commissioner of FSDA Agra, said, ""During the inspection, around five shops were issued improvement notices for hygiene vio...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,economic times,drop,extraction_unique_r2_relevant,other_candidate,0.147285,phrase_frequency; tfidf,2,4,1,outside edible-oil/adulteration domain,"Maha govt, FDA crack down on oil manufacturers to check on adulteration","...nd Consumer Protection Department. (Catch all the Business News, Breaking News and Latest News Updates on The Economic Times.) Subscribe to The Economic Times Prime and read the ET ePaper online. (Catch all the Business News, Breaking...",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,2,3
,safety standards,drop,extraction_unique_r2_relevant,other_candidate,0.145844,phrase_frequency; tfidf,2,3,3,outside edible-oil/adulteration domain,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...ross the district in the run-up to Holi. Strict action will be taken against those found compromising on food safety standards,"" Kumar said.",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,sample,drop,extraction_unique_r2_relevant,other_candidate,0.145532,phrase_frequency; tfidf,2,5,3,low score or outside edible-oil/adulteration scope,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India","...a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special state-wide drive in October last...",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,2,3
,worth rs,drop,extraction_unique_r2_relevant,other_candidate,0.137303,tfidf,1,5,4,outside edible-oil/adulteration domain,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,"...e Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team raided...",https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,refined palmolein,drop,extraction_unique_r2_relevant,other_candidate,0.13636,phrase_frequency; tfidf,2,5,2,outside edible-oil/adulteration domain,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India","...said. A total of 291 tins of refined soybean oil, 3,968 pouches of refined soybean oil and 6,995 pouches of refined palmolein oil were seized. Three samples were collected for lab tests. Officials also seized 91 tins (15 kg each) of e...",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,2,3
,safety officer,drop,extraction_unique_r2_relevant,other_candidate,0.133603,phrase_frequency; tfidf,2,4,3,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Act...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,legal action,drop,extraction_unique_r2_relevant,other_candidate,0.132756,phrase_frequency; tfidf,2,4,3,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...s of sugar toys were taken for testing. The FSDA has sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,civil supplies,drop,extraction_unique_r2_relevant,other_candidate,0.130919,phrase_frequency; tfidf,2,3,3,outside edible-oil/adulteration domain,"Maha govt, FDA crack down on oil manufacturers to check on adulteration","...ai and parts of Maharashtra such as Panvel, Alibaug, Raigad, among others, said Kamlesh D Kedare of the Food, Civil Supplies and Consumer Protection Department. (Catch all the Business News, Breaking News and Latest News Updates on Th...",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,2,3
,oil worth,drop,extraction_unique_r2_relevant,other_candidate,0.130173,phrase_frequency; tfidf,2,3,2,low score or outside edible-oil/adulteration scope,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,"..., the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team rai...",https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,food drug,drop,extraction_unique_r2_relevant,other_candidate,0.126561,phrase_frequency; tfidf,2,0,0,outside edible-oil/adulteration domain,,,,2,3
,seizing,drop,extraction_unique_r2_relevant,other_candidate,0.12306,phrase_frequency; tfidf,2,4,2,low score or outside edible-oil/adulteration scope,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...et busted in Hyderabad; oil, namkeen worth lakhs seized Sources revealed that the police had major success in seizing 5,026 litres of oil and 5,192 kilograms of wheat during the operation, which targeted a wide range of items,...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
,president vladimir,drop,extraction_unique_r2_relevant,other_candidate,0.122673,phrase_frequency; tfidf,2,4,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted c...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,russian president,drop,extraction_unique_r2_relevant,other_candidate,0.122673,phrase_frequency; tfidf,2,4,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum high...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,vladimir putin,drop,extraction_unique_r2_relevant,other_candidate,0.122673,phrase_frequency; tfidf,2,4,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultura...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,action taken,drop,extraction_unique_r2_relevant,other_candidate,0.122014,phrase_frequency; tfidf,2,0,0,outside edible-oil/adulteration domain,,,,2,3
,food drug administration,drop,extraction_unique_r2_relevant,other_candidate,0.105386,phrase_frequency; tfidf,2,0,0,outside edible-oil/adulteration domain,,,,2,3
,oil pouches,drop,extraction_unique_r2_relevant,other_candidate,0.104291,phrase_frequency; tfidf,2,0,0,low score or outside edible-oil/adulteration scope,,,,2,3
,oil pouches refined,drop,extraction_unique_r2_relevant,other_candidate,0.104291,phrase_frequency; tfidf,2,0,0,low score or outside edible-oil/adulteration scope,,,,2,3
,pouches refined,drop,extraction_unique_r2_relevant,other_candidate,0.104291,phrase_frequency; tfidf,2,0,0,outside edible-oil/adulteration domain,,,,2,3
,rs lakh,drop,extraction_unique_r2_relevant,other_candidate,0.103869,tfidf,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,items festive,drop,extraction_unique_r2_relevant,other_candidate,0.100732,phrase_frequency; tfidf,2,0,0,outside edible-oil/adulteration domain,,,,2,3
