keep,keyword_or_keyphrase,review_label,source,category,composite_score,methods_found,method_count,total_frequency,document_frequency,review_reason,example_article_title,example_context,example_url,source_round_number,next_round_target
,oil worth rs,drop,extraction_unique_r2_relevant,other_candidate,0.09684,tfidf,1,3,2,low score or outside edible-oil/adulteration scope,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,"..., the Food Security and Drug Administration (FSDA) department on Wednesday seized adulterated mawa and edible oil worth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team raided...",https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,st petersburg,drop,extraction_unique_r2_relevant,other_candidate,0.08484,tfidf,1,1,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.","...eats of sanctions would boomerang. Watch as Russian President Vladimir Putin responds to this and more at the St Petersburg International Economic Forum (SPIEF), which was moderated by India Today's Foreign Affairs Editor Geeta Mohan...",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,brand registration,drop,extraction_unique_r2_relevant,other_candidate,0.079799,tfidf,1,3,1,outside edible-oil/adulteration domain,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,"...onut oil, said Health Minister Veena George here on Wednesday. Requesting all coconut oil producers to obtain brand registration compulsorily, the Minister said the government would not allow the sale of coconut oil without brand registra...",https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,2,3
,legal metrology,drop,extraction_unique_r2_relevant,other_candidate,0.07963,tfidf,1,2,1,outside edible-oil/adulteration domain,50 cases registered during raids on oil shops in A.P.     ,"The officials of the Vigilance and Enforcement (V&E), Legal Metrology and Food Safety departments raided wholesale and retail edible oil traders across the State on Wednesday. Rai...",https://www.thehindu.com/news/national/andhra-pradesh/50-cases-registered-during-raids-on-oil-shops-in-ap/article65360803.ece,2,3
,worth rs lakh,drop,extraction_unique_r2_relevant,other_candidate,0.079505,tfidf,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,loose sale,drop,extraction_unique_r2_relevant,other_candidate,0.079504,tfidf,1,2,1,outside edible-oil/adulteration domain,"Mustard, Palm Olein Oil Worth â¹7.7l Seized | Kanpur News - Times of India","...nal city magistrate first from Shanti Niketan Kidwai Nagar. Around 204 litre of mustard oil was collected for loose sale, 1000 liters of rice bran oil for loose sale, and 2500kg of Palmolein were seized by the department. Samples...",https://timesofindia.indiatimes.com/city/kanpur/mustard-palm-olein-oil-worth-7-7l-seized/articleshow/95000423.cms,2,3
,bagchi teams,drop,extraction_unique_r2_relevant,other_candidate,0.068297,tfidf,1,0,0,non-oil food context without edible-oil signal,,,,2,3
,vigilance enforcement,drop,extraction_unique_r2_relevant,other_candidate,0.068297,tfidf,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,samples sweets,drop,extraction_unique_r2_relevant,other_candidate,0.068171,tfidf,1,0,0,non-oil food context without edible-oil signal,,,,2,3
,breaking latest,drop,extraction_unique_r2_relevant,other_candidate,0.066476,tfidf,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,articles recently,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,"...y member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,expiry date,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India","...said on Monday that they raided a food shop in the city and found boxes of shrikhand with no manufacturing or expiry date. Taking serious note of the same, the FDA officials seized shrikhand boxes weighing over 61 kg and worth over...",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,following articles,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,"...ther family member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Con...",https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,following articles recently,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,"...ther family member, a 50-year-old woman, was admitted to PGI hospital in late Sept. tnn We also published the following articles recently Constitution Day: Who were members of drafting committee of India's ConstitutionIndia celebrates Constitution...",https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,industrial area,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India","...(CMHO) Ashok Yadav was informed about the action. Subsequently, the CMHO of Tonk reached the factory in Niwai Industrial Area and seized approximately 6,000 litre of Ranthambore brand Kacchi Ghani oil. Food safety officer Suresh Kumar...",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,2,3
,large quantity,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Acting on the information, a team arrived at the scene. The warehous...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,standards act,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...s sent all 11 samples for laboratory analysis, and further legal action will follow under the Food Safety and Standards Act, 2006.",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,strict action,drop,extraction_unique_r2_relevant,other_candidate,0.062833,phrase_frequency,1,3,3,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...and a notice is being posted. Once the owner arrives, oil samples will be sent for testing. If found guilty, strict action will be taken."" FSDA Agra conducted inspections across several locations in the district, collecting 11 food...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,adulterated food,drop,extraction_unique_r2_relevant,adulteration/fraud,0.0545,phrase_frequency,1,3,2,weak domain term below threshold,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...bad Enforcement Wing carried out extensive search operations from January 1 to April 21 in Hyderabad, seizing adulterated food items, machinery, and vehicles worth Rs 64.07 lakh, and arresting 28 individuals associated with the units, s...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
,festive season,drop,extraction_unique_r2_relevant,other_candidate,0.0545,phrase_frequency,1,3,2,outside edible-oil/adulteration domain,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,...id the department intensified inspections across the district to curb adulteration in edible items during the festive season and is running a special campaign to deter adulterators.,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,fsda team,drop,extraction_unique_r2_relevant,other_candidate,0.0545,phrase_frequency,1,3,2,non-oil food context without edible-oil signal,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...ensure that residents receive safe and pure festive delicacies. In the Mansoorpur area of Muzaffarnagar, the FSDA team intercepted a vehicle on the highway carrying around 15 quintals of adulterated paneer worth nearly Rs 3.3 la...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,health department,drop,extraction_unique_r2_relevant,other_candidate,0.0545,phrase_frequency,1,3,2,outside edible-oil/adulteration domain,Investigation into Dropsy Deaths in Nabha: New Committee Formed to Probe Tainted Edible Oil | Chandigarh News - Times of India,"...societies. Three members of a family had died after consumption of unfit edible oil in Sept, after which the health department had issued an advisory and conducted a probe. Navdeep Singh said the committee will now act after going throu...",https://timesofindia.indiatimes.com/city/chandigarh/investigation-into-dropsy-deaths-in-nabha-new-committee-formed-to-probe-tainted-edible-oil/articleshow/115711329.cms,2,3
,hygiene violations,drop,extraction_unique_r2_relevant,other_candidate,0.0545,phrase_frequency,1,3,2,outside edible-oil/adulteration domain,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...ommissioner of FSDA Agra, said, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was bein...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,officials seized,drop,extraction_unique_r2_relevant,enforcement/evidence,0.053,phrase_frequency,1,2,2,weak domain term below threshold,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...cting 11 food samples and destroying over 2.2 tonnes of substandard food items. During the enforcement drive, officials seized and destroyed 1,725 kg of khoya, 500 kg of paneer and 30 kg of artificially coloured petha worth around Rs 4....",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,oil allegedly,drop,extraction_unique_r2_relevant,other_candidate,0.053,phrase_frequency,1,2,2,low score or outside edible-oil/adulteration scope,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,"...FSDA team raided a trader's shop at Sachendi and found a large stock of Amrit, Maya and Safari brand soybean oil allegedly imported from Nepal. On-the-spot testing by the Food Safety on Wheels laboratory indicated adulteration. The...",https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,2,3
,activity notice,drop,extraction_unique_r2_relevant,other_candidate,0.047667,phrase_frequency,1,4,1,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India","...FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and...",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,stop activity,drop,extraction_unique_r2_relevant,other_candidate,0.047667,phrase_frequency,1,4,1,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India","...The FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state F...",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,stop activity notice,drop,extraction_unique_r2_relevant,other_candidate,0.047667,phrase_frequency,1,4,1,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India","...The FDA has opened a comment period and, if approved, manufacturers will have one year to comply. FDA serves stop activity notice on eatery at BKCBurn - Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food and...",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,economic forum,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",...n Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,fake oil,drop,extraction_unique_r2_relevant,adulteration/fraud,0.046167,phrase_frequency,1,3,1,weak domain term below threshold,"Fake oil found in Bihar, here's how to spot it.","...s and palaces had long influenced his architectural work, including the planned White House ballroom project. Fake oil found in Bihar, here's how to spot it. Fake oil containers were seized in Rohtas district, Bihar. Watch to kn...",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,ginger-garlic paste,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,outside edible-oil/adulteration domain,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...ch targeted a wide range of items, including bakery products, sweets, salty snacks, edible oils, wheat flour, ginger-garlic paste, meat products, ice creams, and sauces. In a major crackdown on food adulteration and illegal manufacturing,...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
,international economic,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",...xchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,international economic forum,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",...xchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated by Geeta Mohan...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,milk powder,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,non-oil food context without edible-oil signal,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India","...ulterated. On October 10, the FDA raided a house in Sinnar and found a man adulterating milk with the help of milk powder and colourless liquid. The FDA found 18 kg of dairy milk powder, 34 kg of milk powder and 170 litres of colou...",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,petersburg international,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,outside edible-oil/adulteration domain,"Fake oil found in Bihar, here's how to spot it.",A cordial exchange between Russian President Vladimir Putin and American architect Rodney Cook Jr. at the St. Petersburg International Economic Forum highlighted cultural ties amid broader US-Russia tensions. Speaking during a session moderated...,https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,2,3
,tea powder,drop,extraction_unique_r2_relevant,other_candidate,0.046167,phrase_frequency,1,3,1,non-oil food context without edible-oil signal,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized","...ty of products. ""Authorities found 10 tea godowns containing adulterated stock. Around 3000 kg of adulterated tea powder, 1500 kg of expired tea powder, and synthetic colour and jaggery items were seized. Hyderabad, known for its...",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,2,3
,collected samples,drop,extraction_unique_r2_relevant,other_candidate,0.044667,phrase_frequency,1,2,1,low score or outside edible-oil/adulteration scope,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...leged unhygiene and labelling violations during raids conducted in Noida and Greater Noida on Sunday, as they collected samples and seized large quantities of sweets and edible oils, officials said on Monday as they intensified inspectio...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,ensure residents,drop,extraction_unique_r2_relevant,other_candidate,0.044667,phrase_frequency,1,2,1,outside edible-oil/adulteration domain,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...d of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplied with safe and quality food items during the festive season NOIDA: Ahead of the Holi festival, Ga...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,action under the food,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,outside edible-oil/adulteration domain,Traders given 15 days to halt sale of loose edible oil,"...mful substances takes place. He explained the severe legal consequences of violations, including strict penal action under the Food Safety and Standards Act and relevant provisions of the Bharatiya Nyaya Sanhita. Stakeholders were advised to...",https://www.thehansindia.com/news/cities/hyderabad/traders-given-15-days-to-halt-sale-of-loose-edible-oil-1069613,2,3
,oil collected,drop,extraction_unique_r2_relevant,other_candidate,0.043167,phrase_frequency,1,1,1,low score or outside edible-oil/adulteration scope,"Maharashtra News: Minister Narhari Zirwal Announces Suspension Of 2 FDA Officials, Closure Of Nandurbar Factory Over Oil Adulteration","...ary questions were raised by legislator Sameer Kunawar, who pointed out that samples of soybean and groundnut oil collected recently from the same factory were found to be adulterated. ""Swift action was expected, but the concerned of...",https://www.freepressjournal.in/mumbai/maharashtra-news-minister-narhari-zirwal-announces-suspension-of-2-fda-officials-closure-of-nandurbar-factory-over-oil-adulteration,2,3
,oil in the state,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,...department launched a special drive called ‘Operation Oil’ as part of curbing the sale of adulterated coconut oil in the State. Over 100 centers were inspected in the last two days and notices were issued against the violators of safety...,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,2,3
,oil of another brand,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","...liberately added to improve their nutritional value. Officials further said that 91 tins of refined palmolein oil of another brand carrying expiry date were found. One sample was collected, and the remaining stock was seized. “In total, fiv...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,oils in gb nagar,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,"Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar","Ahead of Holi, food safety raids net unhygienic sweets, mislabelled oils in GB Nagar The drive was carried out to ensure residents are supplied with safe and quality food items during the festiv...",https://www.hindustantimes.com/cities/noida-news/ahead-of-holi-food-safety-raids-net-unhygienic-sweets-mislabelled-oils-in-gb-nagar-101771877000656.html,2,3
,samples had been collected,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,...ction was taken against 177 shops that did not comply with the norms under Operation Shawarma. As many as 651 samples had been collected and sent for lab tests. Notices were issued against 294 institutions and fines were collected. The State also...,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,2,3
,samples have been collected,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...ng. Food inspector Archana Deheeran told TOI, ""Paneer was being brought from Aligarh to supply Uttar Pradesh; samples have been collected, and the entire paneer that was in bad condition was also destroyed. Apart from this, we also destroyed 'khiy...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,samples of this edible,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India","...nder the Food Safety Act 2006, and 6,683 litre seized due to suspicion of substandard quality. Officials said samples of this edible oil had been taken a few days earlier and were found to be of substandard quality. Tonk chief medical health...",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,2,3
,samples were also collected,drop,extraction_unique_r2_relevant,other_candidate,0.043167,yake,1,1,1,low score or outside edible-oil/adulteration scope,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,"...00 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establishments, and two samples of sugar toys were taken for testing. The FSDA has sent all 1...",https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,2,3
,served stop,drop,extraction_unique_r2_relevant,other_candidate,0.043167,phrase_frequency,1,1,1,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice b...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,served stop activity,drop,extraction_unique_r2_relevant,other_candidate,0.043167,phrase_frequency,1,1,1,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice by the sta...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,served stop activity notice,drop,extraction_unique_r2_relevant,other_candidate,0.043167,phrase_frequency,1,1,1,outside edible-oil/adulteration domain,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",...d water analysis reports. An FDA team will visit the establishment again to ensure compliance. BKC restaurant served stop activity notice by Maharashtra FDAThe Burn-Bar and Kitchen in Mumbai has been served a stop activity notice by the state Food...,https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,2,3
,administration fsda,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,ahead holi,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,drug administration fsda,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,food safety drug,drop,extraction_unique_r2_relevant,enforcement/evidence,0.033333,phrase_frequency,1,0,0,weak domain term below threshold,,,,2,3
,food safety standards act,drop,extraction_unique_r2_relevant,enforcement/evidence,0.033333,phrase_frequency,1,0,0,weak domain term below threshold,,,,2,3
,items festive season,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,oil worth lakh,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,low score or outside edible-oil/adulteration scope,,,,2,3
,safety drug,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,safety standards act,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,sale adulterated,drop,extraction_unique_r2_relevant,adulteration/fraud,0.033333,phrase_frequency,1,0,0,weak domain term below threshold,,,,2,3
,tins refined,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
,worth lakh,drop,extraction_unique_r2_relevant,other_candidate,0.033333,phrase_frequency,1,0,0,outside edible-oil/adulteration domain,,,,2,3
