keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context,suppression_reason
food safety,phrase_frequency; tfidf; yake,3,1.0,32,12,0.444729,0.480409,0.32,0.666667,0.523757,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...ulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special s...",already_in_prior_keyword_bank
seized,phrase_frequency; tfidf; yake,3,1.0,29,10,0.417685,0.475486,0.29,0.555556,0.491895,enforcement/evidence,keep_core,strong domain term for combining with oil-product terms,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,"...lanned White House ballroom project. Fake oil found in Bihar, here's how to spot it. Fake oil containers were seized in Rohtas district, Bihar. Watch to know how to spot the difference between real and fake oil. OTHER VIDEOS F...",already_in_prior_keyword_bank
edible oil,phrase_frequency; tfidf; yake,3,1.0,23,12,0.332241,0.479784,0.23,0.666667,0.47073,oil/product,keep_core,clear edible-oil product term found in sample text,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...from the manufacturers of the products which were found substandard. The official added that five samples of edible oil, 23 samples of milk and related products, six products of sweet, three cereal-based products, chips, spices a...",already_in_prior_keyword_bank
oil,phrase_frequency; tfidf; yake,3,1.0,100,18,1.0,0.480024,1.0,1.0,0.870006,other_candidate,manual_review,statistically strong phrase but not in edible-oil categories,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...ed from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that th...",already_in_prior_keyword_bank
fda,phrase_frequency; tfidf; yake,3,1.0,24,3,0.412285,0.477598,0.24,0.166667,0.424699,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,7,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"The state department had raided a factory in Vashi area of Navi Mumbai on Tuesday, while the FDA conducted operations at units in Bhiwandi and Mira Road, the official said. The raids were conducted based on...",already_in_prior_keyword_bank
soybean oil,phrase_frequency; tfidf; yake,3,1.0,8,5,0.16081,0.475334,0.08,0.277778,0.328783,oil/product,manual_review,food/product term is relevant but not strong enough alone,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...ygienic conditions. In addition, 800 kg of edible oil â including 600 kg of mustard oil and 200 kg of refined soybean oil â worth about Rs 1.3 lakh was seized from local shops. Samples were also collected from well-known establishm...",already_in_prior_keyword_bank
food safety officer,phrase_frequency; tfidf; yake,3,1.0,4,3,0.102676,0.479529,0.04,0.166667,0.286819,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,3,Adulterated paneer and cooking oil seized ahead of Diwali | Agra News - The Times of India,https://timesofindia.indiatimes.com/city/agra/adulterated-paneer-and-cooking-oil-seized-ahead-of-diwali/articleshow/124586909.cms,"...aid, ""During the inspection, around five shops were issued improvement notices for hygiene violations."" Chief food safety officer Atul Pathak said, ""Information was received that a large quantity of oil was being illegally transported. Act...",already_in_prior_keyword_bank
food safety standards,phrase_frequency; tfidf; yake,3,1.0,2,2,0.135429,0.478409,0.02,0.111111,0.286669,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,11,"100kg rasgullas destroyed, over 11,000 oil packs seized in pre-Holi drive | Noida News - The Times of India",https://timesofindia.indiatimes.com/city/noida/100kg-rasgullas-destroyed-over-11000-oil-packs-seized-in-pre-holi-drive/articleshow/128728715.cms,"...ue across the district in the run-up to Holi. Strict action will be taken against those found compromising on food safety standards,"" Kumar said.",already_in_prior_keyword_bank
adulteration,phrase_frequency; tfidf,2,0.666667,18,10,0.27276,0.0,0.18,0.555556,0.272466,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...the samples of which were collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safet...",already_in_prior_keyword_bank
adulterated,phrase_frequency; tfidf,2,0.666667,15,9,0.216228,0.0,0.15,0.5,0.239847,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...nd March 2021. âAmong the 19 samples whose reports arrived on Monday, seven were found to be substandard. The adulterated products include a renowned brand of honey and four pan masalas,â said Kandwal. The food and drug department...",already_in_prior_keyword_bank
raids,phrase_frequency; tfidf,2,0.666667,11,7,0.24644,0.0,0.11,0.388889,0.227754,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...ng units that were preparing ginger-garlic paste using harmful preservatives and fake branding. Following the raids, the police urged citizens to purchase food products only from licensed vendors, to check expiry dates, and t...",already_in_prior_keyword_bank
substandard,phrase_frequency; tfidf,2,0.666667,12,6,0.25389,0.0,0.12,0.333333,0.223528,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...r. GC Kandwal, designated officer food safety, Dehradun, said that the sample of honey, which was found to be substandard, was collected during a special state-wide drive in October last year. The rest of the food samples were coll...",already_in_prior_keyword_bank
coconut oil,phrase_frequency; tfidf,2,0.666667,6,1,0.192185,0.0,0.06,0.055556,0.151265,oil/product,manual_review,food/product term is relevant but not strong enough alone,17,Operation Oil: manufacturer to be allowed to launch only one brand of oil ,https://www.thehindu.com/news/national/kerala/operation-oil-manufacturer-to-be-allowed-to-launch-only-one-brand-of-oil/article66144992.ece,"Tightening the noose around the adulterated coconut oil manufacturers, the State government has decided to allow a manufacturer to launch only one brand of coconut o...",already_in_prior_keyword_bank
mustard oil,phrase_frequency; tfidf,2,0.666667,4,4,0.113617,0.0,0.04,0.222222,0.145766,oil/product,manual_review,food/product term is relevant but not strong enough alone,1,"Adulteration found in paneer, mustard oil & honey in Doon | Dehradun News - Times of India",https://timesofindia.indiatimes.com/city/dehradun/adulteration-found-in-paneer-mustard-oil-honey-in-doon/articleshow/81638388.cms,"...collected from the state capital in the last two months. According to the reports, adulteration was found in mustard oil, a brand of honey, pan masala, and paneer. GC Kandwal, designated officer food safety, Dehradun, said that th...",already_in_prior_keyword_bank
fake,phrase_frequency; tfidf,2,0.666667,4,2,0.100939,0.0,0.04,0.111111,0.124662,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,2,"Fake oil found in Bihar, here's how to spot it.",https://www.indiatoday.in/newsmo/video/fake-oil-found-in-bihar-heres-how-to-spot-it-2698982-2025-03-25?utm_source=rss,"...s and palaces had long influenced his architectural work, including the planned White House ballroom project. Fake oil found in Bihar, here's how to spot it. Fake oil containers were seized in Rohtas district, Bihar. Watch t...",already_in_prior_keyword_bank
palm oil,phrase_frequency; tfidf,2,0.666667,3,2,0.096272,0.0,0.03,0.111111,0.121529,oil/product,manual_review,food/product term is relevant but not strong enough alone,7,"Maha govt, FDA crack down on oil manufacturers to check on adulteration",https://economictimes.indiatimes.com/industry/cons-products/food/maha-govt-fda-crack-down-on-oil-manufacturers-to-check-on-adulteration/articleshow/89178574.cms,"...were conducted based on information about adulteration of sunflower oil, which was allegedly being mixed with palm oil and sold in Mumbai and parts of Maharashtra such as Panvel, Alibaug, Raigad, among others, said Kamlesh D Ked...",already_in_prior_keyword_bank
loose oil,phrase_frequency,1,0.333333,3,2,0.0,0.0,0.03,0.111111,0.0545,oil/product,manual_review,food/product term is relevant but not strong enough alone,9,"Nashik Fda Cracks Down On Adulterated Food Items, Oil | Nashik News - The Times of India",https://timesofindia.indiatimes.com/city/nashik/nashik-fda-cracks-down-on-adulterated-food-items-oil/articleshow/105082876.cms,"...ids in various outlets to prevent the sale of adulterated food items during Diwali. On Tuesday, shrikhand and loose oil, worth over Rs two lakh, were confiscated by the Nashik Food and Drug Administration (FDA). FDA officials sai...",already_in_prior_keyword_bank
food safety department,yake,1,0.333333,3,2,0.0,0.479345,0.03,0.111111,0.174336,enforcement/evidence,drop,weak domain term below threshold,15,Oil’s not well? Food safety teams smell fraud,https://www.thehindu.com/news/cities/Hyderabad/oils-not-well-food-safety-teams-smell-fraud/article65290089.ece,"...nits, packaging units and retail stores in the State, and collected 98 samples. C. Sivaleela, director of the Food Safety department, which comes under Institute of Preventive Medicine, said that their teams collected edible oil samples over...",already_in_prior_keyword_bank
raided,phrase_frequency; tfidf,2,0.666667,8,4,0.174444,0.0,0.08,0.222222,0.173055,other_candidate,drop,low score or outside edible-oil/adulteration scope,4,Kanpur Adulterated Food: Pre-Holi raids in Kanpur: FSDA seizes 9 quintals of adulterated mawa & edible oil worth Rs 29L | Kanpur News - The Times of India,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,"...rth Rs 29.08 lakh and destroyed a large quantity of unsafe products. Acting on a tip-off, a special FSDA team raided Panki Railway Station, where around 9 quintals of mawa was allegedly brought into the city via an EtawahâKanp...",already_in_prior_keyword_bank
food safety officers,yake,1,0.333333,2,2,0.0,0.478337,0.02,0.111111,0.172584,enforcement/evidence,drop,weak domain term below threshold,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...was present during the action. In another case, inspection was done at Vinayak Bakers at Hawa Sadak, Jaipur. Food safety officers found expired materials at the bakery, which were seized. Action is now being taken to suspend its food licen...",already_in_prior_keyword_bank
fssai,phrase_frequency,1,0.333333,4,4,0.0,0.0,0.04,0.222222,0.072667,enforcement/evidence,drop,weak domain term below threshold,5,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized",https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,"...d hazardous chemicals. Many establishments were found operating in highly unhygienic conditions without valid FSSAI certification or trade licences. Overall, the police registered 22 cases and busted manufacturing units that...",already_in_prior_keyword_bank
substandard quality,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.03,0.055556,0.046167,adulteration/fraud,drop,weak domain term below threshold,10,"Over 12,000 litre of âspuriousâ oil seized | Jaipur News - Times of India",https://timesofindia.indiatimes.com/city/jaipur/over-12000-litre-of-spurious-oil-seized/articleshow/110316417.cms,"...uesday seized 6,683 litre of edible oil in Muhana Mandi and 6,000 litre at a factory in Niwai on suspicion of substandard quality. Health department officials said they had received information about substandard mustard oil of Ranthambore...",already_in_prior_keyword_bank
