article_number,url,original_url,domain,title,source,date,download_status,http_status,extraction_status,extraction_method,word_count,raw_html_path,cleaned_text_path,error_message,first_2_lines
1,https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,thenewsmill.com,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",thenewsmill.com,,success,200,success,trafilatura,404,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\thenewsmill.com\f4640b28146d2c8c.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\thenewsmill.com\f4640b28146d2c8c.txt,,"The Food Safety and Standards Authority of India (FSSAI) has dismantled an alleged inter-state network involved in the manufacture and distribution of suspected counterfeit ghee, seizing more than 6,500 litres of suspected adulterated products and related raw materials during coordinated operations in Delhi and Haryana. / The enforcement action was conducted by Central Food Safety Officers (CFSOs) under the guidance of Devesh Kumar Mahla, IPS, Director of the Northern Regional Office (NRO), FSSAI, in collaboration with local police authorities."
2,https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,telegraphindia.com,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",telegraphindia.com,2026-05-30T23:40:04+05:30,success_reader_fallback,403,success,jina_reader_markdown,601,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\_reader_fallback\article_2_www_telegraphindia_com.md,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\_reader_fallback\article_2_www_telegraphindia_com.txt,,Home / e-Paper
3,https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,ndtv.com,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",ndtv.com,2026-04-17T16:05:34+05:30,success_reader_fallback,403,success,jina_reader_markdown,1229,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\_reader_fallback\article_3_www_ndtv_com.md,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\_reader_fallback\article_3_www_ndtv_com.txt,,"Live TV[](https://www.ndtv.com/video/live/channel/ndtv24x7?pfrom=home-ndtvmainnavigation ""Live TV"")[](https://www.ndtv.com/video/live/channel/ndtv24x7?pfrom=home-ndtvmainnavigation ""Live TV"")[](https://www.ndtv.com/video/live/channel/ndtv24x7?pfrom=home-ndtvmainnavigation ""Live TV"")[](https://www.ndtv.com/video/live/channel/ndtv24x7?pfrom=home-ndtvmainnavigation ""Live TV"")[](https://www.ndtv.com/video/live/channel/ndtv24x7?pfrom=home-ndtvmainnavigation ""Live TV"")[](https://www.ndtv.com/video/live/channel/ndtv24x7?pfrom=home-ndtvmainnavigation ""Live TV"")[](https://www.ndtv.com/video/live/channel/ndtv24x7) [](https://ndtv.in/livetv-ndtvindia) [](https://www.ndtv.com/video/live/channel/ndtvprofit) [](https://marathi.ndtv.com/livetv-ndtvmarathi) [](https://mpcg.ndtv.in/livetv-ndtvmpcg) [](https://rajasthan.ndtv.in/livetv-ndtvrajasthan) / Latest"
4,https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,timesofindia.indiatimes.com,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",timesofindia.indiatimes.com,2026-06-03,success,200,success,trafilatura,541,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\timesofindia.indiatimes.com\e9a4002546710f5a.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\timesofindia.indiatimes.com\e9a4002546710f5a.txt,,"JAISALMER: In a major action under the Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and edible oil. / The operation is being described as the largest crackdown on the fake ghee and oil trade in Jaisalmer district so far."
5,https://economictimes.indiatimes.com/news/new-updates/hyderabad-fake-ghee-raid-how-3000-kg-of-cow-buffalo-cream-were-mixed-with-cheap-substances-and-supplied-to-public/articleshow/129141501.cms?from=mdr,https://economictimes.indiatimes.com/news/new-updates/hyderabad-fake-ghee-raid-how-3000-kg-of-cow-buffalo-cream-were-mixed-with-cheap-substances-and-supplied-to-public/articleshow/129141501.cms?from=mdr,economictimes.indiatimes.com,"Hyderabad fake ghee raid: How 3,000 kg of cow & buffalo cream were mixed with cheap substances and supplied to public",economictimes.indiatimes.com,2026-03-06,success,200,success,trafilatura,465,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\economictimes.indiatimes.com\303f531d47f11da5.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\economictimes.indiatimes.com\303f531d47f11da5.txt,,"Officials confirmed that the operation was conducted jointly by the Telangana Police Commissioner's Task Force, the Golconda team and Masabtank Police Station. / Hyderabad Dairy Raid: Pride Dairy Unit Busted"
6,https://www.knskashmir.com/fda-jandk-seizes-1-092-kg-suspected-fake-verka-ghee-205042,https://www.knskashmir.com/fda-jandk-seizes-1-092-kg-suspected-fake-verka-ghee-205042,knskashmir.com,"FDA J&K Seizes 1,092 kg Suspected Fake Verka Ghee",knskashmir.com,,success,200,success,trafilatura,221,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\knskashmir.com\0ceb323e06cb943b.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\knskashmir.com\0ceb323e06cb943b.txt,,"SRINAGAR, June 25 (KNS): The Jammu and Kashmir Food & Drugs Administration (FDA) has seized over 1,000 kg of suspected counterfeit 'Verka' ghee following raids across Jammu and Srinagar, officials said on Thursday. / An official told news agency Kashmir News Service (KNS), acting on a specific complaint, FDA food safety teams conducted inspections at multiple locations and seized 91 cases of the product – 55 from Jammu and 36 from Srinagar – bearing batch number F956210 with manufacturing date of May 11, 2026, and expiry of May 10, 2027."
7,https://www.bhaskarenglish.in/local/gujarat/surat/news/surat-fake-ghee-racket-exposed-sabka-foods-vidur-ghee-137710503.html,https://www.bhaskarenglish.in/local/gujarat/surat/news/surat-fake-ghee-racket-exposed-sabka-foods-vidur-ghee-137710503.html,bhaskarenglish.in,"Fake ghee racket exposed in Surat:  Accused used syringes to turn 1kg ghee into 15kg toxic mix, sold it as branded product - Surat News",bhaskarenglish.in,2026-04-16,success,200,success,trafilatura,1085,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\bhaskarenglish.in\bf601e085078fc13.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\bhaskarenglish.in\bf601e085078fc13.txt,,- English News / - Local
8,https://www.rediff.com/news/report/fda-seizes-adulterated-ghee-worth-rs-13-lakh-in-jalna/20260604.htm,https://www.rediff.com/news/report/fda-seizes-adulterated-ghee-worth-rs-13-lakh-in-jalna/20260604.htm,rediff.com,"Jalna Factory Raided For Making Fake Ghee, Rs 13 Lakh Stock Seized",rediff.com,2026-06-04,success,200,success,trafilatura,372,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\rediff.com\90e4f48ba5c1f785.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\rediff.com\90e4f48ba5c1f785.txt,,"The Food and Drug Administration (FDA) has cracked down on an adulterated ghee manufacturing unit in Jalna, Maharashtra, seizing over Rs 13 lakh worth of fake products and initiating legal proceedings to ensure food safety. / Key Points"
9,https://www.thehindu.com/news/national/karnataka/ccb-unearths-interstate-racket-selling-adulterated-nandini-ghee-8136-litres-seized/article70283406.ece,https://www.thehindu.com/news/national/karnataka/ccb-unearths-interstate-racket-selling-adulterated-nandini-ghee-8136-litres-seized/article70283406.ece,thehindu.com,"CCB unearths interstate racket selling adulterated Nandini ghee; 8,136 litres seized",thehindu.com,,success,200,success,trafilatura,229,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\thehindu.com\3021cf3d16a0f219.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\thehindu.com\3021cf3d16a0f219.txt,,"The Central Crime Branch (CCB) has dismantled a large interstate network involved in producing adulterated ghee in Tamil Nadu, packing it in fake Nandini-branded sachets and bottles, and distributing it across Bengaluru. / Four accused have been arrested, and 8,136 litres of adulterated ghee worth ₹1.26 crore have been seized."
10,https://www.bhaskarenglish.in/local/gujarat/ahmedabad/news/illegal-nikol-unit-fake-cow-ghee-seized-ahmedabad-137768573.html,https://www.bhaskarenglish.in/local/gujarat/ahmedabad/news/illegal-nikol-unit-fake-cow-ghee-seized-ahmedabad-137768573.html,bhaskarenglish.in,400 kg fake cow ghee seized in Ahmedabad:  Illegal Nikol unit used vegetable fat & palm oil for production - Ahmedabad News,bhaskarenglish.in,2026-04-23,success,200,success,trafilatura,299,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\bhaskarenglish.in\d5fe56d8bb8fd33a.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\bhaskarenglish.in\d5fe56d8bb8fd33a.txt,,- English News / - Local
11,https://www.deccanherald.com/india/karnataka/bengaluru/interstate-fake-nandini-ghee-racket-busted-in-bengaluru-4-held-with-goods-worth-rs-126-cr-3799557,https://www.deccanherald.com/india/karnataka/bengaluru/interstate-fake-nandini-ghee-racket-busted-in-bengaluru-4-held-with-goods-worth-rs-126-cr-3799557,deccanherald.com,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr,deccanherald.com,2025-11-15,success,200,success,trafilatura,38,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\raw_html\deccanherald.com\ad48630d4a4652e8.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\ghee_from_sample_2026-06-30\cleaned_text\deccanherald.com\ad48630d4a4652e8.txt,,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr / A CCB Special Investigation Squad officer said that the accused were manufacturing adulterated ghee in Tamil Nadu using coconut and palm oil.
