keyword_or_keyphrase,methods_found,method_count,method_agreement_score,total_frequency,document_frequency,tfidf_score_normalized,yake_score_normalized,frequency_score_normalized,document_frequency_score,composite_score,category,review_label,review_reason,example_article_number,example_article_title,example_url,example_context
ghee,phrase_frequency; tfidf; yake,3,1.0,139,11,1.0,0.090092,1.0,1.0,0.772523,ghee/product,keep_core,clear ghee product term found in sample text,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...smantled an alleged inter-state network involved in the manufacture and distribution of suspected counterfeit ghee, seizing more than 6,500 litres of suspected adulterated products and related raw materials during coordinate..."
adulterated,phrase_frequency; tfidf; yake,3,1.0,54,10,0.470265,0.089841,0.388489,0.909091,0.48169,adulteration/fraud,keep_core,strong domain term for combining with ghee-product terms,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...n the manufacture and distribution of suspected counterfeit ghee, seizing more than 6,500 litres of suspected adulterated products and related raw materials during coordinated operations in Delhi and Haryana. The enforcement action..."
adulterated ghee,phrase_frequency; tfidf; yake,3,1.0,40,10,0.350351,0.090116,0.28777,0.909091,0.424681,incident/action phrase,keep_core,combined ghee/adulteration/enforcement phrase,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...ith local police authorities. Commenting on the operation, Mahla stated, “We have seized around 6500 litre of adulterated ghee. It was manufactured with vegetable and animal fat as per the lab report. It was a good operation with FSSAI..."
cow ghee,phrase_frequency; tfidf; yake,3,1.0,17,5,0.182108,0.09001,0.122302,0.454545,0.272767,ghee/product,keep_core,clear ghee product term found in sample text,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...” The investigation was initiated after officials observed digital and print advertisements promoting premium cow ghee and regular ghee lacking mandatory FSSAI licence details and prescribed labelling information. Subsequently,..."
desi ghee,phrase_frequency; yake,2,0.666667,6,3,0.0,0.089658,0.043165,0.272727,0.136465,ghee/product,keep_core,clear ghee product term found in sample text,2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...d Food Products, where ghee was being manufactured and stored under multiple brands, including 'Udaipur Fresh Desi Ghee', 'Udaipur Fresh Cow Ghee', 'Madhya Desi Ghee' and 'Jayant Cow Ghee' PTI Published 30.05.26, 11:40 PM Represe..."
pure ghee,phrase_frequency,1,0.333333,5,3,0.0,0.0,0.035971,0.272727,0.079638,ghee/product,keep_core,clear ghee product term found in sample text,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...on.​ Investigators said the accused had set up a systematic adulteration process in which small quantities of pure ghee were mixed with palm oil, vegetable ghee and vegetable butter.​ Artificial essence was added to replicate the..."
loose ghee,phrase_frequency,1,0.333333,3,1,0.0,0.0,0.021583,0.090909,0.050207,ghee/product,keep_core,clear ghee product term found in sample text,8,"Jalna Factory Raided For Making Fake Ghee, Rs 13 Lakh Stock Seized",https://www.rediff.com/news/report/fda-seizes-adulterated-ghee-worth-rs-13-lakh-in-jalna/20260604.htm,"...to create ghee resembling genuine dairy products. - Eight food samples, including five branded ghee products, loose ghee, refined soybean oil, and essence, were collected for laboratory analysis. - The factory has been sealed, and..."
seized,phrase_frequency; tfidf,2,0.666667,38,10,0.329589,0.0,0.273381,0.909091,0.359394,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...), FSSAI, in collaboration with local police authorities. Commenting on the operation, Mahla stated, “We have seized around 6500 litre of adulterated ghee. It was manufactured with vegetable and animal fat as per the lab repor..."
food safety,phrase_frequency; tfidf; yake,3,1.0,24,8,0.258882,0.090102,0.172662,0.727273,0.348125,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,The Food Safety and Standards Authority of India (FSSAI) has dismantled an alleged inter-state network involved in the manufa...
fake,phrase_frequency; tfidf,2,0.666667,29,8,0.307945,0.0,0.208633,0.727273,0.314833,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...Google PlayDownload on the App Store facebooktwitterinstagramlinkedinyoutubewhatsappthreadssnapchat 2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years facebook;) twitter;) WhatsApp;) Settings..."
police said the adulterated,yake,1,0.333333,1,1,0.0,1.0,0.007194,0.090909,0.298049,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...ee and vegetable butter and sold as cow ghee. They had been operating this activity for the past two years.”​ Police said the adulterated products were packaged under names such as ‘Vidur Cow Ghee' and ‘Desi Ghee', in sizes ranging from small pouc..."
fake ghee,phrase_frequency; tfidf; yake,3,1.0,18,7,0.169835,0.090028,0.129496,0.636364,0.296828,incident/action phrase,manual_review,incident/action phrase needs human pruning,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...Google PlayDownload on the App Store facebooktwitterinstagramlinkedinyoutubewhatsappthreadssnapchat 2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years facebook;) twitter;) WhatsApp;) Settings Chang..."
raid,phrase_frequency; tfidf,2,0.666667,21,6,0.218772,0.0,0.151079,0.545455,0.247717,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...nd 18,000 litres of suspected adulterated ghee (clarified butter) and yellow food colour were seized during a raid in Rajasthan’s Udaipur, officials said on Saturday. Acting on complaints related to food adulteration and pro..."
palm oil,phrase_frequency; tfidf,2,0.666667,13,7,0.180797,0.0,0.093525,0.636364,0.239429,adulterant/mixing,manual_review,possible ghee adulterant/mixing term; verify before using,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...ation was part of “Operation Shuddhi” targeting food adulteration in the city Adulterated ghee was mixed with palm oil, vegetable ghee, butter, artificial essence, and coloring How were the officials in Surat able to detect and..."
adulteration,phrase_frequency; tfidf,2,0.666667,16,7,0.131522,0.0,0.115108,0.636364,0.22542,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,...identify other entities potentially linked to the network and reaffirmed its zero-tolerance position on food adulteration and misbranding. The agency has also advised consumers to be vigilant when purchasing food products by verify...
suspected adulterated ghee,phrase_frequency; tfidf; yake,3,1.0,7,3,0.107392,0.090019,0.05036,0.272727,0.208555,incident/action phrase,manual_review,incident/action phrase needs human pruning,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...d oil suspected to be used as raw material for counterfeit ghee production, along with around 1,500 litres of suspected adulterated ghee. The stock was seized and placed under regulatory custody. In Haryana, at M/S Bala Ji Food Products in Sonipa..."
fda,phrase_frequency; tfidf,2,0.666667,10,2,0.25862,0.0,0.071942,0.181818,0.195248,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,6,"FDA J&K Seizes 1,092 kg Suspected Fake Verka Ghee",https://www.knskashmir.com/fda-jandk-seizes-1-092-kg-suspected-fake-verka-ghee-205042,"SRINAGAR, June 25 (KNS): The Jammu and Kashmir Food & Drugs Administration (FDA) has seized over 1,000 kg of suspected counterfeit 'Verka' ghee following raids across Jammu and Srinagar, of..."
fssai,phrase_frequency; tfidf,2,0.666667,12,3,0.212306,0.0,0.086331,0.272727,0.194832,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,The Food Safety and Standards Authority of India (FSSAI) has dismantled an alleged inter-state network involved in the manufacture and distribution of suspected coun...
suspected adulterated,phrase_frequency; tfidf,2,0.666667,9,4,0.128945,0.0,0.064748,0.363636,0.176055,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...involved in the manufacture and distribution of suspected counterfeit ghee, seizing more than 6,500 litres of suspected adulterated products and related raw materials during coordinated operations in Delhi and Haryana. The enforcement action..."
food adulteration,phrase_frequency; yake,2,0.666667,9,5,0.0,0.089752,0.064748,0.454545,0.166999,adulteration/fraud,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,...ue to identify other entities potentially linked to the network and reaffirmed its zero-tolerance position on food adulteration and misbranding. The agency has also advised consumers to be vigilant when purchasing food products by verify...
tamil nadu,phrase_frequency; tfidf,2,0.666667,4,2,0.177361,0.0,0.028777,0.181818,0.160332,location,manual_review,location term; useful only if we decide to add geography-specific queries,9,"CCB unearths interstate racket selling adulterated Nandini ghee; 8,136 litres seized",https://www.thehindu.com/news/national/karnataka/ccb-unearths-interstate-racket-selling-adulterated-nandini-ghee-8136-litres-seized/article70283406.ece,"...entral Crime Branch (CCB) has dismantled a large interstate network involved in producing adulterated ghee in Tamil Nadu, packing it in fake Nandini-branded sachets and bottles, and distributing it across Bengaluru. Four accused h..."
manufacturing adulterated ghee,tfidf; yake,2,0.666667,2,2,0.104139,0.089631,0.014388,0.181818,0.154954,incident/action phrase,manual_review,incident/action phrase needs human pruning,8,"Jalna Factory Raided For Making Fake Ghee, Rs 13 Lakh Stock Seized",https://www.rediff.com/news/report/fda-seizes-adulterated-ghee-worth-rs-13-lakh-in-jalna/20260604.htm,"...on Thursday. FDA Uncovers Adulteration Racket During the raid, an FDA team found that the unit was allegedly manufacturing adulterated ghee on a large scale by mixing edible oil and flavouring essence. The operation at the facility in Tirthpuri vill..."
food safety officers,phrase_frequency; yake,2,0.666667,3,3,0.0,0.089972,0.021583,0.272727,0.133306,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,1,"FSSAI seizes 6,500 litres of suspected adulterated ghee in India",https://thenewsmill.com/2026/06/fssai-seizes-over-6500-litres-of-suspected-adulterated-ghee-in-delhi-and-haryana-raids/,"...materials during coordinated operations in Delhi and Haryana. The enforcement action was conducted by Central Food Safety Officers (CFSOs) under the guidance of Devesh Kumar Mahla, IPS, Director of the Northern Regional Office (NRO), FSSAI,..."
food safety commissioner,phrase_frequency; yake,2,0.666667,3,2,0.0,0.090008,0.021583,0.181818,0.119679,enforcement/evidence,manual_review,domain term is plausible but weaker or too broad,2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...yellow food colour Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour Food Safety Commissioner Dr T Shubhamangala said the team inspected Shri Madhur Dairy Farm and Food Products, where ghee was being man..."
nandini ghee,tfidf,1,0.333333,2,2,0.114596,0.0,0.014388,0.181818,0.102873,ghee/product,manual_review,"ghee product term, but weakly represented in this sample",9,"CCB unearths interstate racket selling adulterated Nandini ghee; 8,136 litres seized",https://www.thehindu.com/news/national/karnataka/ccb-unearths-interstate-racket-selling-adulterated-nandini-ghee-8136-litres-seized/article70283406.ece,"...ed ghee worth ₹1.26 crore have been seized. According to officials, the accused exploited the high demand for Nandini ghee in Karnataka by preparing spurious ghee using coconut and palm oil in Tamil Nadu and supplying it to their Be..."
ghee racket,tfidf,1,0.333333,3,2,0.110021,0.0,0.021583,0.181818,0.102351,ghee/product,manual_review,"ghee product term, but weakly represented in this sample",7,"Fake ghee racket exposed in Surat:  Accused used syringes to turn 1kg ghee into 15kg toxic mix, sold it as branded product - Surat News",https://www.bhaskarenglish.in/local/gujarat/surat/news/surat-fake-ghee-racket-exposed-sabka-foods-vidur-ghee-137710503.html,- English News - Local - Gujarat - Surat - Surat Fake Ghee Racket Exposed | Sabka Foods Sells Toxic Mix As Vidur Ghee Fake ghee racket exposed in Surat:Accused used syringes t...
fake nandini ghee,tfidf,1,0.333333,1,1,0.097353,0.0,0.007194,0.090909,0.082123,incident/action phrase,manual_review,incident/action phrase needs human pruning,11,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr,https://www.deccanherald.com/india/karnataka/bengaluru/interstate-fake-nandini-ghee-racket-busted-in-bengaluru-4-held-with-goods-worth-rs-126-cr-3799557,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr A CCB Special Investigation Squad officer said...
fake nandini ghee racket,tfidf,1,0.333333,1,1,0.097353,0.0,0.007194,0.090909,0.082123,incident/action phrase,manual_review,incident/action phrase needs human pruning,11,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr,https://www.deccanherald.com/india/karnataka/bengaluru/interstate-fake-nandini-ghee-racket-busted-in-bengaluru-4-held-with-goods-worth-rs-126-cr-3799557,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr A CCB Special Investigation Squad officer said that t...
ghee racket busted,tfidf,1,0.333333,1,1,0.097353,0.0,0.007194,0.090909,0.082123,ghee/product,manual_review,"ghee product term, but weakly represented in this sample",11,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr,https://www.deccanherald.com/india/karnataka/bengaluru/interstate-fake-nandini-ghee-racket-busted-in-bengaluru-4-held-with-goods-worth-rs-126-cr-3799557,Interstate fake Nandini ghee racket busted in Bengaluru; 4 held with goods worth Rs 1.26 cr A CCB Special Investigation Squad officer said that the accu...
vanaspati,phrase_frequency,1,0.333333,4,3,0.0,0.0,0.028777,0.272727,0.078559,adulterant/mixing,manual_review,possible ghee adulterant/mixing term; verify before using,4,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...(FSS Act). Authorities seized approximately 10,260 kilograms of adulterated ghee, palm oil, soybean oil, and vanaspati from the site. Subsequently, a raid was conducted at the companyâs warehouse, where officials collected eight..."
adulterated ghee and oil,yake,1,0.333333,5,1,0.0,0.089669,0.035971,0.090909,0.074783,incident/action phrase,manual_review,incident/action phrase needs human pruning,4,"Major crackdown on adulterated ghee and oil in Pokaran; over 14,000kg seized",https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,"...tion under the Rajasthan Governmentâs âShuddh Aahar Milawat Par Vaarâ campaign, authorities raided an illegal adulterated ghee and oil manufacturing unit in Pokaran late Sunday night and seized more than 14,000 kilograms of adulterated ghee and..."
udaipur fresh cow ghee,yake,1,0.333333,2,1,0.0,0.090023,0.014388,0.090909,0.071634,ghee/product,manual_review,"ghee product term, but weakly represented in this sample",2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...ts, where ghee was being manufactured and stored under multiple brands, including 'Udaipur Fresh Desi Ghee', 'Udaipur Fresh Cow Ghee', 'Madhya Desi Ghee' and 'Jayant Cow Ghee' PTI Published 30.05.26, 11:40 PM Representational image Around 18,..."
udaipur fresh desi ghee,yake,1,0.333333,2,1,0.0,0.089985,0.014388,0.090909,0.071624,ghee/product,manual_review,"ghee product term, but weakly represented in this sample",2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...Dairy Farm and Food Products, where ghee was being manufactured and stored under multiple brands, including 'Udaipur Fresh Desi Ghee', 'Udaipur Fresh Cow Ghee', 'Madhya Desi Ghee' and 'Jayant Cow Ghee' PTI Published 30.05.26, 11:40 PM Represe..."
adulterated ghee operation,yake,1,0.333333,2,1,0.0,0.089864,0.014388,0.090909,0.071594,incident/action phrase,manual_review,incident/action phrase needs human pruning,3,"2,000 kg Fake Ghee Worth Rs 14 Lakh Seized In Surat Factory Operating For 2 Years",https://www.ndtv.com/food/2-000-kg-fake-ghee-worth-rs-14-lakh-seized-in-surat-factory-operating-for-2-years-11367765,"...e ghee, butter, artificial essence, and coloring How were the officials in Surat able to detect and seize the adulterated ghee operation in the Sachin GIDC area? Officials in Surat have seized 2,029 kilograms of adulterated ghee and arrested two..."
fake cow ghee,yake,1,0.333333,2,1,0.0,0.08984,0.014388,0.090909,0.071588,incident/action phrase,manual_review,incident/action phrase needs human pruning,10,400 kg fake cow ghee seized in Ahmedabad:  Illegal Nikol unit used vegetable fat & palm oil for production - Ahmedabad News,https://www.bhaskarenglish.in/local/gujarat/ahmedabad/news/illegal-nikol-unit-fake-cow-ghee-seized-ahmedabad-137768573.html,- English News - Local - Gujarat - Ahmedabad - Illegal Nikol Unit Used Vegetable Fat For Fake Cow Ghee | Ahmedabad 400 kg fake cow ghee seized in Ahmedabad:Illegal Nikol unit used vegetable fat & palm oil for pro...
fresh cow ghee,yake,1,0.333333,2,1,0.0,0.0897,0.014388,0.090909,0.071553,ghee/product,manual_review,"ghee product term, but weakly represented in this sample",2,"Udaipur authorities seize 18,000 litres of suspected adulterated ghee, yellow food colour",https://www.telegraphindia.com/india/udaipur-authorities-seize-18000-litres-of-suspected-adulterated-ghee-yellow-food-colour/cid/2163223,"...e ghee was being manufactured and stored under multiple brands, including 'Udaipur Fresh Desi Ghee', 'Udaipur Fresh Cow Ghee', 'Madhya Desi Ghee' and 'Jayant Cow Ghee' PTI Published 30.05.26, 11:40 PM Representational image Around 18,..."
vidur ghee fake ghee,yake,1,0.333333,1,1,0.0,0.090042,0.007194,0.090909,0.070559,incident/action phrase,manual_review,incident/action phrase needs human pruning,7,"Fake ghee racket exposed in Surat:  Accused used syringes to turn 1kg ghee into 15kg toxic mix, sold it as branded product - Surat News",https://www.bhaskarenglish.in/local/gujarat/surat/news/surat-fake-ghee-racket-exposed-sabka-foods-vidur-ghee-137710503.html,"- English News - Local - Gujarat - Surat - Surat Fake Ghee Racket Exposed | Sabka Foods Sells Toxic Mix As Vidur Ghee Fake ghee racket exposed in Surat:Accused used syringes to turn 1kg ghee into 15kg toxic mix, sold it as branded produc..."
fake cow ghee seized,yake,1,0.333333,1,1,0.0,0.089986,0.007194,0.090909,0.070545,incident/action phrase,manual_review,incident/action phrase needs human pruning,10,400 kg fake cow ghee seized in Ahmedabad:  Illegal Nikol unit used vegetable fat & palm oil for production - Ahmedabad News,https://www.bhaskarenglish.in/local/gujarat/ahmedabad/news/illegal-nikol-unit-fake-cow-ghee-seized-ahmedabad-137768573.html,...ws - Local - Gujarat - Ahmedabad - Illegal Nikol Unit Used Vegetable Fat For Fake Cow Ghee | Ahmedabad 400 kg fake cow ghee seized in Ahmedabad:Illegal Nikol unit used vegetable fat & palm oil for production - Copy link The Food Department...
ghee fake ghee racket,yake,1,0.333333,1,1,0.0,0.089974,0.007194,0.090909,0.070542,incident/action phrase,manual_review,incident/action phrase needs human pruning,7,"Fake ghee racket exposed in Surat:  Accused used syringes to turn 1kg ghee into 15kg toxic mix, sold it as branded product - Surat News",https://www.bhaskarenglish.in/local/gujarat/surat/news/surat-fake-ghee-racket-exposed-sabka-foods-vidur-ghee-137710503.html,"...nglish News - Local - Gujarat - Surat - Surat Fake Ghee Racket Exposed | Sabka Foods Sells Toxic Mix As Vidur Ghee Fake ghee racket exposed in Surat:Accused used syringes to turn 1kg ghee into 15kg toxic mix, sold it as branded product - Cop..."
